event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
2006041,Mecklenburg-Vorpommern,Bunker Rostock,"Neptunallee 9A, 18057 Rostock-ktv",https://de.ra.co/clubs/108596,Rivals Rave PRES. Lukas Meunier,2024-10-05,Sat 23:00,Sun 06:00,https://de.ra.co/events/2006041,Rivals Rave,https://de.ra.co/promoters/147330,9,,,"Lukas Meunier, Ėrrør.A , Ron Impro , Frida Smits , , Synaptic_knot , Maté (2) , Ruls 𝘣2𝘣 Christian Sommer",18,"Techno, Psytrance","✪ Hard Techno
► LUKAS MEUNIER - KREATUR BERLIN
► ERRØR.A - RIVALS RAVE
► RON IMPRO - RIVALS RAVE
► FRIDA SMITS - RIVALS RAVE


✪ PSYTRANCE
► SYNAPTIC KNOT - FEELNATURE
► MATÉ - RIVALS RAVE
► RULS B2B CHRISTIAN SOMMER

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Lichttechnik by: RIVALS RAVE
Dekoration by: COSMO COLORS
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
15 Taler
23 Uhr ist Einlass!
SAVE THE RAVE / SAVE THE SPACE
NO HATE
NO RACISM
NO SEXISM
NO HOMOPHOBIA
NO BOILERROOM
NO MUSIC REQUEST",HeGuZi,https://rivals-rave.de
2014600,Mecklenburg-Vorpommern,Peter-Weiss-Haus,Doberaner-Str 21; 10857 Rostock; Germany,https://de.ra.co/clubs/16816,DRM BSS - 10 JAHRE ESKALATION,2024-10-12,Sat 23:00,Sun 06:00,https://de.ra.co/events/2014600,,,6,,,"\\DnB//, Disphonia, BassBitches, CaDo & ikkez, , \\Techno//, Klangpusch, KASI, S.E.T.I.",18,"Drum & Bass, Techno","Zum 10-Jährigen! Das Line Up mit Schweißperlengarantie!
auf 2 Floors

Alter! Disphonia und BassBitch zum 10-Jährigen! Das ist Schweißperle, Fuß-Reflexzonen-Masssge, Shiatsu für die Lende auf 175bpm. @ikk3z und @cado_dnb schließen den Laden für Euch auf und wieder ab.

Rivals Rave zieht am ins Cafe Marat ein!
Klangpusch, Kasi & S.E.T.I. verlegen stabile Bretter im Café Große Ehre!
",Kasi-music,https://drmbss.com/
1974265,Mecklenburg-Vorpommern,Bunker Rostock,"Neptunallee 9A, 18057 Rostock-ktv",https://de.ra.co/clubs/108596,Rivals Rave PRES HADES OFFENBARUNG DER UNTERWELT,2024-10-30,Wed 23:00,Thu 06:00,https://de.ra.co/events/1974265,Rivals Rave,https://de.ra.co/promoters/147330,21,,,"-HARD-TECHNO FLOOR-, === Hades ===, SICKK.DE B2B I‘M HIM, ALIEN FROM HELL , NOT4YOU , , -TECHNO FLOOR-, S.E.T.I. , Paulette , Tobias Sommer , Søbek , , -PSY-TRANCE FLOOR-, AL LONGO , HAYITT , VORENTUM",18,"Techno, Psytrance","RIVALS RAVE PRES. HADES 
OFFENBARUNG DER UNTERWELT 

-HARD-TECHNO FLOOR-
SICKK.DE B2B I‘M HIM 
ALIEN.FROM.HELL 
HADES 
NOT4YOU 

-TECHNO FLOOR-
S.E.T.I. 
PAULETTE
TOBIAS SOMMER 
SØBEK 

-PSY-TRANCE FLOOR-
AL LONGO 
HAYITT  
VORRENTUM

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
LICHTTECHNIK BY: RIVALS RAVE

DEKORATION BY: COSMO COLORS
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
NO HATE, NO RACISM!
20 TALER
23 UHR IST EINLASS!
SAVE THE RAVE",HeGuZi,https://rivals-rave.de
1987216,Mannheim,Das Zimmer,"Q5 Passage 14-22, 68161, Mannheim",https://de.ra.co/clubs/5012,Dominik Eulberg,2024-10-05,Sat 23:00,Sun 05:00,https://de.ra.co/events/1987216,,,8,,,"Dominik Eulberg , Alicia Hahn , Cyanit",18,"Techno, Ambient","Wir begrüßen wir einen ganz besonderen Gast bei uns im Zimmer: Dominik Eulberg! 

Dominik Eulberg erzählt mit seinem Sound Geschichten, die Mutter Natur geschrieben hat. So wie ein Maler seine Darstellung der Welt malt, möchte er ein akustisches Bild schaffen, welches fesselnd und leidenschaftlich seine Gefühle wiedergibt. ⁠

Support liefen Alicia Hahn und CYANIT.

Sei dabei und begib dich mit Dominik Eulberg, Alicia Hahn und CYANIT auf eine musikalische Reise! ",cosmopop_Mannheim,https://shop.paylogic.com/4fb876a040984e0c89856686f443d81c/
1987219,Mannheim,Das Zimmer,"Q5 Passage 14-22, 68161, Mannheim",https://de.ra.co/clubs/5012,ALT8,2024-10-11,Fri 23:00,Sat 05:00,https://de.ra.co/events/1987219,,,4,,,"ALT8 , Gianni, Nika",18,"Techno, Hip-Hop","ALT8 kommt ins Zimmer!

ALT8 begann seine musikalische Reise inspiriert von hartem Techno und dem Groove der frühen 2000er Jahre. Nach den Auftritten seines älteren Bruders brachte er in Irland eine Mischung aus Hip-Hop und Dance-Musik auf die Bühnen. Diese Vielfalt zeichnet ihn aus.

2019 begann er, eigene Produktionen zu schaffen, und veröffentlichte 2020 seine erste EP auf T-Minus Records. Sein Durchbruch kam 2021 mit „Mind Control“ auf DYENs „Reckless“-Label, das ihm Respekt in der Techno-Szene einbrachte.

Für Kenner ist klar: ALT8 ist entschlossen, seinen eigenen Weg zu gehen. Wer ihn noch nicht kennt, wird es bald tun.

Support liefern Gianni Und Nika.",cosmopop_Mannheim,https://shop.paylogic.com/d440526271314a2bbe9b95192742d966/
1997279,Mannheim,MS Connexion Complex,"Angelstrasse 33, 68199, Mannheim",https://de.ra.co/clubs/9611,21 Jahre Stereo621,2024-10-12,Sat 21:00,Sun 08:00,https://de.ra.co/events/1997279,"Stereo621, MSCC Events","https://de.ra.co/promoters/62007, https://de.ra.co/promoters/114751",10,Standard Ticket,27.0,"STEREO621 FLOOR, Tanzsaal [23:00 - 08.00]:, , • a-z •, Cinthie , DMan , Jennifer Cardini , Justin Cudmore , Shoe Bee , ____________, , METALHEADZ FLOOR, Kolbenhalle [21:00 - 06.00]:, , Goldie, • a-z • , Ant TC, Medic MC, Paradox live, Submotive, , Support from, E.Decay, Sonair",18,"Drum & Bass, House","The ticket price includes access to both floors:

""21 Jahre STEREO621"" + ""30 YEARS OF METALHEADZ w/ GOLDIE""!

Both rooms are connected as one event - Tickets are good for both floors!
______________________________________________________________

21 JAHRE STEREO621 

Gefeiert wird der Geburtstag von Mannheims dienstältester Clubnacht in guter Tradition.

In diesem Jahr sogar mit ZWEI wilden Nächten & jeweils einem besonderen Line Up.

Nacht 1 - SA 12 10 24
Nacht 2 - FR 18 10 24",shoebee,"https://www.msconnexion.com/, https://helterskelter.ticketshop.live/GoldieO621/, https://linktr.ee/stereo621"
1997490,Mannheim,MS Connexion Complex,"Angelstrasse 33, 68199, Mannheim",https://de.ra.co/clubs/9611,30 YEARS OF METALHEADZ - SINCE FOREVER,2024-10-12,Sat 21:00,Sun 06:00,https://de.ra.co/events/1997490,"MSCC Events, No Way Merchandise","https://de.ra.co/promoters/114751, https://de.ra.co/promoters/122221",10,,,"METALHEADZ FLOOR, KOLBENHALLE [21:00 - 06.00]:, , Goldie , Ant TC1 , Medic MC, Paradox  live, Submotive, E.Decay, Sonair , , , STEREO621 FLOOR , TANZSAAL [23:00 - 08.00]:, , Cinthie , DMan , Jennifer Cardini b2b Gabrielle Kwarteng , Justin Cudmore , Shoe Bee",18,"Drum & Bass, Jungle","This is the second 30 YEARS OF METALHEADZ NIGHT stoping at MS Connexion Complex, Mannheim Germany. This one is for all the Drum and Bass / Jungle fans. Metalheadz shaped the scene for over three decades and is responsible for many releases you all heard before. This is one is for young and old to enjoy together. Whether you sing along and recall memories or discover sounds to create new ones. Everyone is welcome to enjoy. 

Further more there is a second room curated by STEREO621 that you have access to. Both floors are connected.

Depending on temperature the outdoor area will be open.

TICKETS ARE GOOD FOR BOTH FLOORS   ",Sonair,"https://www.nowaymerch.com/tickets-events/, https://www.msconnexion.com/programm/club-party.html, https://helterskelter.ticketshop.live/GoldieO621/"
2009291,Mannheim,Das Zimmer,"Q5 Passage 14-22, 68161, Mannheim",https://de.ra.co/clubs/5012,Ashby Resident Night,2024-10-12,Sat 23:00,Sun 05:00,https://de.ra.co/events/2009291,,,0,,,"TLNMR, J Martius , L.S.RAW , Gavrik",18,"Trance, Techno","ASHBY RESIDENT-NIGHT VOL.2

ASHBY ist zurück mit einer neuen Resident-Night!! 

Wer sich an unser erstes ASHBY im Zimmer erinnert, weiß, welche Energie euch erwartet! 

Von Hard-Groove über Hard-Trance und Bounce ist alles dabei, um mit euch, der ASHBY FAMILY, die Nacht zum Tag zu machen! 

Seid wieder dabei, wenn es heißt…

It is not a rave, we are calling it ASHBY!

Euer ASHBY TEAM ",cosmopop_Mannheim,https://shop.paylogic.com/a2ead32a43424afca128d7dfd5ec285d/
2018022,Mannheim,Disco Zwei,"T6, 14; 68161 Mannheim; Germany",https://de.ra.co/clubs/27073,Topos Night with Known Artist (Club Mix),2024-10-12,Sat 23:00,Sun 06:00,https://de.ra.co/events/2018022,Disco_Zwei,https://de.ra.co/promoters/145888,0,,,"Known Artist (Club Mix), A_DJ, Day V. Jones, Baby B, mirella",18,"Progressive House, House","Reba and Probably Sean are two producers/DJs who merged under the pseudonym Known Artist in 2022. Based in France, they launched their own label «Club Mix» and quickly made a name for themselves with an excellent catalog consisting solely of bangers. The duo now continue to tour the world, working on EPs for other labels, obviously following their own releases on «Club Mix» but also a «Club Remix» series on vinyl.

As support and also for heating up our second floor, we invited our local heroes A_DJ, Day V. Jones, Baby B and mirella.

Reba und Probably Sean sind zwei Produzenten/DJs, die sich 2022 unter dem Künstlernamen «Known Artist» zusammengeschlossen haben. Sie kommen aus Frankreich und haben ihr eigenes Label «Club Mix» gegründet. Schnell haben sie sich mit einem Katalog voller Hits einen Namen gemacht. Das Duo tourt nun um die Welt und arbeitet an EPs für andere Labels. Natürlich veröffentlichen sie weiterhin auch auf ihrem eigenen Label «Club Mix» und haben außerdem eine «Club Remix»-Reihe auf Vinyl gestartet.

Als Support und auf unserem zweiten Floor treten unsere local DJs A_DJ, Day V. Jones, Baby B und mirella auf. ",DZwei,
2003101,Mannheim,MS Connexion Complex,"Angelstrasse 33, 68199, Mannheim",https://de.ra.co/clubs/9611,21 Jahre Stereo621 - Part 2,2024-10-18,Fri 23:00,Sat 08:00,https://de.ra.co/events/2003101,"Stereo621, MSCC Events","https://de.ra.co/promoters/62007, https://de.ra.co/promoters/114751",8,Early bird,10.0,"LINE UP:, Dax J , Alekzandra , Maurce, Shoe Bee",18,Techno,"21 JAHRE STEREO621

Gefeiert wird der Geburtstag von Mannheims dienstältester Clubnacht in guter Tradition:
In diesem Jahr sogar mit ZWEI wilden Nächten & jeweils einem besonderen Line Up.

Bei zweiten Teil der Feierlichkeiten wird Dax J mit einem Set gratulieren!
________________________________________________________________

There are few artists carving out a legacy for themselves like Dax J is right now. The British DJ and producer from London has gone from pirate radio to magazine covers; from the backroom parties to headlining raves at every major techno institution the world over, all whilst staying true to the underground with an individual style all of his own. His technical skill, pure selection as a DJ and attention to high-end sound production has placed him at the forefront of a global scene, and established him as a singular presence within modern dance music.",shoebee,"https://linktr.ee/stereo621, https://helterskelter.ticketshop.live/STEREOokt/, https://www.msconnexion.com"
