event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
1971810,Berlin,OST,"Alt-Stralau, 1-2 Friedrichshain 10245",https://de.ra.co/clubs/141987,"Slave To The Rave 33 with Aida Arko, Bianca Oblivion, Krl Mx, Lokier, Maruwa",2024-10-05,Sat 23:00,Sun 11:00,https://de.ra.co/events/1971810,Quest Agency,https://de.ra.co/promoters/102088,766,Early bird,14,"Main Floor:, Aida Arko , Deepneue, Krl Mx , Lokier, Maruwa (Techno Set), , 1st Floor:, Bianca Oblivion , Cyan85 , Darius The Barbarian (live), Young Lychee",18,"Techno, Bass","There will be tickets available at the box office, cash only!

Join our Telegram group for limited reduced tickets and more information:

t.me/slavetotheraveberlin

Please respect everyone’s identity, act with consent and care. We look forward to going mental with you in a safe environment, racist, sexist, homophobic or transphobic behaviour and any form of discrimination won't be tolerated!

Please respect our no photo/video policy!

No dresscode, jeder nach seiner Façon - that's how Techno was meant to be!

In order to protect our guests, please stay at home if you feel unwell!",questagency,https://www.t.me/s/slavetotheraveberlin?before=66
2000161,Berlin,RSO.BERLIN,"Schnellerstrasse 137, 12439 Berlin",https://de.ra.co/clubs/185172,"PRXMTY w/ ASEC, Tommy Four Seven, Blue Hour b2b Newa, LDS, Dold & Hontas",2024-10-05,Sat 23:59,Mon 08:00,https://de.ra.co/events/2000161,RSO.BERLIN,https://de.ra.co/promoters/50036,472,Early bird,15.5,"ROBUS:, ASEC live, Blue Hour b2b Newa, Dold, Hontas, LDS live, Mary Lake, P.E.A.R.L., RUIZ OSC1, Tommy Four Seven, , SUMME:, DHC, Lena Willikens, Sansibar, Viikatory",18,"Techno, Broken Beat","Sansibar is a distinctive cosmic producer known for transforming intergalactic vibes. As a resident DJ at Kaiku and Post Bar, Sansibar’s genre-defying sound has made a mark with labels like Kalahari Oyster Cult and Natural Sciences, establishing them as a standout talent in the European music scene. Their eclectic style spans across electro, techno, house, and jungle to expansive downtempo soundscapes filled with euphoria and haze. On October 5th, we return with PRXMTY and host Sansibar on the SUMME floor along with DHC, Lena Willikens, and Viikatory while the ROBUS floor sees Tommy Four Seven, RUIZ OSC1, ASEC live, Blue Hour b2b Newa and more.

INFO

• Located on the grounds of the former Bärenquell brewery factory in East Berlin.
• 2 converted Warehouse dancefloors with state of the art sound systems.
• Custom made by Kirsch Audio. 40kW, 48 channels, 153 drivers, signature horn technology
• cash and cashless payment
• 5 min walk from Schöneweide station, 4 stops from Ostkreuz and 3 stops from Neukölln with S-Bahn
• 18 minutes by Bus 165 from Schlesisches Tor

ONLINE PRESALE:
Please note that having a presale ticket does not assure admission. The club reserves the right to decline entry, with tickets refunded accordingly. Please anticipate potential delays due to enhanced security checks at the entrance, even for ticket holders. Your cooperation and understanding are greatly appreciated. Thank you.",Griessmuehle,https://rso.berlin/
1986382,Berlin,OXI,"Wiesenweg 1-4, 10365 Berlin",https://de.ra.co/clubs/184646,Small Great House 'Open Air + Indoor' 'Garden Closing' (Small Great Things.),2024-10-05,Sat 14:00,Sun 10:00,https://de.ra.co/events/1986382,Small Great Things.,https://de.ra.co/promoters/100054,512,Early bird,10,"Lovebirds , Carlo , Eva Crystaltips , Nephews ,  Luca Olivotto , David Silver , Quadrakey , Marc Brauner , Maltitz , Josiane , Moehecan , Marco Ohboy, DJ whity",20,"House, Disco","Get ready to immerse yourself in the electric vibes of OXI as we return on October 5th for a 20-hour marathon, celebrating the GRAND FINALE of the garden season! After an unforgettable September edition, we're back in full force for October. Prepare to be swept away into a world where the music reigns supreme as we take over OXI’s expansive venue in the heart of Berlin. With one outdoor stage and three indoor floors—including a vinyl-only room—this event promises a one-of-a-kind journey through the very heart of electronic music.

Expect an extraordinary lineup of artists who will craft an atmospheric soundscape, enhanced by OXI’s state-of-the-art sound system and immersive lighting. Whether you're a house enthusiast or a disco lover, the energy of this event is bound to captivate all who live for the pulse of electronic beats.

This isn't just another night out—it's a transformative experience waiting to unfold. Mark your calendars for October 5th and prepare to lose yourself in the rhythm.

Event Details:  
Outdoor: 14:00 - 22:00  
Indoor: 22:00 - 10:00 (next day)  

In House We Trust!   We host DJs all day and night long across four floors (indoor and outdoor). Special Features:  1 Outdoor Floor (wind and rainproof)  3 Indoor Floors  Big chillout area  Food   

IMPORTANT: Reduced Tickets with ""entrance before 3 PM"" are available online only.   
Tickets with entrance before 3 PM are only valid until 3 PM. After that, you will be charged the difference for the normal ticket price. Thanks for understanding.


OXI features a large outdoor garden and three indoor dance floors. You can find all our vinyl releases, as well as our new release and merch, during the event at OXI! See you there, house music lovers! We strive to provide a safe and worry-free space. Please respect everyone’s identity, act with consent and care. Discriminatory behavior of any kind will not be tolerated. Please respect our no photo/video policy.",EndlessMusic,"https://www.instagram.com/smallgreatthingslabel/?hl=en, https://soundcloud.com/smallgreatthings, https://smallgreatthings.de"
1947063,Berlin,Humboldthain Club,Hochstraße 46; 13357 Berlin; Germany,https://de.ra.co/clubs/78234,Fête de l'amour - 1 Year Anniversary,2024-10-05,Sat 23:59,Sun 08:00,https://de.ra.co/events/1947063,FeteDeLAmour,https://de.ra.co/promoters/137779,635,Early bird,12,"a-z, Athina , DJ Sonnenbrand, Laska , The Jakob Sister , Paraçek , RaverPik",18,"Trance, Techno","Hey wonderful people, it's that time again - Fête de l'amour is back! Whether you're flying solo, already coupled up, or just looking for magical moments on the dance floor, come and celebrate with us at an unforgettable night filled with love, good vibes, and electrifying music.

You can groove to the hottest Trance and Techno beats, let our vibey atmosphere enchant you, and who knows, you might even discover your own love story right on our dance floor.

Our mission is to create a safe and welcoming environment where everyone is embraced. There's no room for homophobia, racism, fascism, sexism, or any form of hate here. It's all about love and respect for all.



// Only a limited number of pre-sale tickets are available via RA.

- Pre-sale tickets are offered at a discounted rate compared to tickets available at the door.
- An RA ticket does not guarantee entrance. In case of rejection, the ticket will be refunded.
- More tickets will be available for purchase at the door.

--------------------------------------------------------------------------------

// Nur eine begrenzte Anzahl von Vorverkaufstickets ist über RA erhältlich.

- Vorverkaufstickets werden zu einem ermäßigten Preis im Vergleich zu Tickets an der Abendkasse angeboten.
- Ein RA-Ticket garantiert keinen Eintritt. Im Falle einer Ablehnung wird das Ticket erstattet.
- Weitere Tickets sind an der Abendkasse erhältlich.


Humboldthain Club
Hochstraße 36
13357 Berlin",Fetedelamour,N/A
1989904,Berlin,://about blank,"Markgrafendamm 24c, 10245 Berlin, Germany",https://de.ra.co/clubs/28354,WE WILL DANCE AGAIN - Nova Soli Event,2024-10-05,Sat 14:00,Sun 07:00,https://de.ra.co/events/1989904,Headroom Berlin,https://de.ra.co/promoters/79745,453,General admission,17,"Sven Weisemann [Mojuba | Freund der Familie, Lux. [IO], John Osborn [DRED Records], Rising Sun [Echochord | Faith Beat], Phonatic [Headroom], Maral Salmassi [Konsequent], Clarisse [Devotion], Matthias Vogt [Polytone Recordings], George P. [Deep Series Recordings], Dj Humus [Jack Off Records], Nico Rosenberg (Live) [INNI], Orik , Rudolph Beuys [Beatrausch], and more TBA",18,"Techno, House","As we approach the anniversary of the massacre of October 7th perpetrated by the terrorist group Hamas in Israel, we invite you to an impressive memorial event for the victims of the Nova Festival, which will take place from 05-06.10.2024 at Club ://about blank. 
At the psytrance festival in the Negev desert alone, roughly 400 young and innocent ravers, who just celebrated life, were brutally murdered. Many more were seriously injured. Hamas kidnapped 40 of them as hostages in the Gaza Strip. There were numerous testimonies of rape and sexual abuse, including gang rape.
One would think that public sympathy and solidarity with the victims would have been heard, especially from the club culture community, which has always prided itself on being ‘one family’, but the reactions were largely, as in the rest of the cultural and artistic landscape, deafening silence or even relativisation and justification of these obvious atrocities.
‘We will dance again’ wants to break this silence and send a strong signal of solidarity and against anti-Semitism, hatred of Israel and the glorification of terror. Because the attack by the Islamist Hamas on the Nova Festival was not just an attack on the visitors to a rave in Israel, but a fundamental attack on the basic values of club culture itself: Love, peace, freedom and unity

The event includes a day and night program with a film screening, panel discussion, reading, dance performance, information stands, Israeli food and a clubnight with DJs and live acts on three floors.

The proceeds will be donated to a foundation that supports the survivors and bereaved of the victims financially and in coping with their trauma.


Timetable:

3pm - 4pm
#NOVA A documentary film by Dan Pe'er

4:30pm - 4:45pm
'Dance in silence'
Dance performance by Adi Amit & Sagi Amir Gros Director & choreography: Sagi Amir Gros

5:15pm - 6pm
Reading with Genia Berg
From her novel 'Last Festival'

6:30pm-7:30pm
Antisemitism in art and culture after october 7th
Panel discussion with
*Jens Balzer – journalist, author of 'After Woke'
*Sharon On - theatre and film director
*Maya Roisman - artist and trainer for political education
*Balbina – musician and creative director at Polyton
*Maral Salmassi – music producer and label operator
*Moderation: Nicholas Potter - Journalist

After panel
An invitation to light a candle in memory of the 404 Nova victims murdered on oct 7th

8pm - 10pm
Music by DJ Rudolph Beuys

From 10:00pm
Clubnight with
Sven Weisemann // Lux. // John Osborn // Rising Sun // Phonatic // Maral Salmassi // Matthias Vogt // Nico Rosenberg (Live) // Clarisse
George P. // Dj Humus // Orik

",Phonatic,N/A
2004369,Berlin,Watergate,Falckensteinstrasse 49; Kreuzberg; 10997 Berlin; Germany,https://de.ra.co/clubs/3213,"Farewell Watergate with 8KAYS, SCRIPT, Johannes Brecht, Philipp Jung, Annett Gapstream b2b Elif",2024-10-05,Sat 23:00,Sun 10:00,https://de.ra.co/events/2004369,Oberbaum Gaststaettenbetriebs GmbH,https://de.ra.co/promoters/10503,336,Early bird,18.1,"8KAYS, +, Johannes Brecht live , Philipp Jung, Annett Gapstream b2b Elif, Aglaja Brix , SCRIPT",18,"Techno, Tech House","FAREWELL WATERGATE

After 22 unforgettable years, Watergate is closing its doors. Join us for a series of unmissable FAREWELL WATERGATE  events leading to the grand finale on New Year's Eve.
",water-gate,N/A
2010972,Berlin,Trauma Bar und Kino,"Heidestrasse 50, 10557 Berlin",https://de.ra.co/clubs/157011,KILOWATT - Among the madness (free event),2024-10-05,Sat 22:00,Sun 05:00,https://de.ra.co/events/2010972,Kilowatt Berlin,https://de.ra.co/promoters/120366,1675,RSVP,0,"softchaos b2b ENNIO , Concrete Husband , MONEYAMA b2b Total XTC , DJ Jewel , Alada , Indigo Plateaux , Hanaby , TRIPLESCORPIO",21,"Techno, Electro",Please RSVP,KILOWATTBLN,N/A
2008691,Berlin,Lark,"Holzmarktstrasse 15-18, 10179",https://de.ra.co/clubs/216017,BAILE TRAMA - #6 BERLIN,2024-10-05,Sat 23:30,Sun 06:00,https://de.ra.co/events/2008691,TRAMA,https://de.ra.co/promoters/122477,264,1st release,12,"ANNGST, HIO, N3LYSTAR, SZAL, VV$",18,"Baile Funk, Electronica","Baile TRAMA returns with a very hot edition, bringing an authentic team that moves the local scene in Berlin and throughout Europe.
SATURDAY - October 05 at LARK :: High temperatures and intense bass shake our night with a lot of FUNK [br] and other beats for no one to stand still.


23:30 - 06:00 \\ LARK Berlin

TRAMA is a Brazilian plural movement that aims to create new and different connections with each edition, always bringing special guests with the best of our beat (BR) in cities like London, Lisbon, Berlin, Paris, Amsterdam, Porto, Dublin and Milan.

* We aim for an environment to feel safe, comfortable and empowered. Enthusiastic consent is 100% required, otherwise you are not welcome.


JOIN US ",BaileTRAMA,N/A
2000436,Berlin,Lokschuppen Berlin,"Warschauer Brücke, Revaler Straße 99 Zugang über, 10245 Berlin, Germany",https://de.ra.co/clubs/17071,"MILLIAMPERE x GULLI GANG RECORDS w/ Ephy Pinkman, Serafina, PASSA and more",2024-10-05,Sat 23:00,Sun 09:00,https://de.ra.co/events/2000436,"MILLIAMPERE, Gulli Gang Records","https://de.ra.co/promoters/139939, https://de.ra.co/promoters/149873",411,Blind Ticket,10,"Hurts , DJ Achim Feuervogel , Ephy Pinkman , Serafina , DJ Blockflöte 2000 , PASSA , YËDM , Boltcore , brvder jakob , DJ TIPSTER , Riana Holley , Shemm, Amøn",18,"Trance, Techno","MILLIMAPERE and GULLI GANG RECORDS are teaming up for an event you will never forget! 

Dance and celebrate this unique evening with us on 2 floors at Lokschuppen Berlin.
We prepared a line up reaching from trance to bounce and other faster paced genres.

Our guidelines:

NO GHB
NO HOMOPHOBIA
NO SEXISM
NO RACISM
NO DISCRIMINATION",YEDM,N/A
1984933,Berlin,Renate,Alt Stralau 70; Friedrichshain; 10245 Berlin; Germany,https://de.ra.co/clubs/8556,"QS1 x Renate with Beatrice, Janzon, Mascha, DJ Speed x DJ Frequency, Sparkling Water Dreams ",2024-10-05,Sat 23:00,Sun 08:00,https://de.ra.co/events/1984933,"Renate Club, QS1","https://de.ra.co/promoters/102021, https://de.ra.co/promoters/111445",317,early bird (incl. 2€ wardrobe),12,"BLACK ROOM, , AOIFE x Beatrice (DE) , Chaz Moloney (Live), Janzon , Mascha , , GREEN ROOM, , DJ Speed x DJ Frequency ""The Loopmasters"", Kedi Bounce [QS1], Serving Suggestions , , RED ROOM, , Sparkling Water Dreams [QS1] , DJ Zurückbleiben Bitte x Paul Munz",21,"Techno, House","October 5th QS1 are back at Renate 

In classic QS1 Fashion we have some new heads joining us, along with our long time friends and Residents. Almost to the day one year ago, we got the chance to host our first takeover in Renate, and it kicked off a whole series of events which we had never seen coming. Opening the doors to a Venue that fits thousands of people, felt truly nerve wracking, but exciting and like a step we wanted to take. 

This chapter to our Renate story will also be our last as a full full venue take over. These takeovers have given us the chance to invite friends to the stage and give the platform to people who we feel have really earned it. Thanks to all included once again for the unwavering support, assistance and love. You know who you are <3

This time is no different:

Delivering Tunes on Saturday 5th will be:

Aoife x Beatrice
Chaz Moloney
DJ Speed x DJ Frequency
DJ Zurückbleiben Bitte x Paul Munz
Janzon
Kedi Bounce
Mascha
Serving Suggestions
Sparkling Water Dreams

See you on the dancefloor 


Born from an unrenovated apartment building in Friedrichshain, across the river from Treptower Park, Renate has three main dance floors and many smaller rooms to explore. Every shade and subgenre of electronic music has its place here, from fast, groovy techno to uplifting house music, from chugging EBM to frenetic breakbeat stompers.

☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐

The non-smoking regulations apply in the club. Smoking is only permitted in the garden.

Tickets are available at the door. RA ticket does not guarantee entry; purchased tickets will be refunded in that case. Box office 22€ (incl. 2€ wardrobe).

Please note we are fully cashless, we ONLY accept CARD payments at the club.

Renate should be a safe space for any ethnicity, gender or sexual orientation. Any sign of racism, sexism or homophobia will not be tolerated.
In case you feel that you have been treated wrongly, or that your space has been violated, please notify our awareness team or our staff.",RenateWilde,N/A
