event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
1853244,Cologne,fi,"Widdersdorfer Straße 246, 50825 Köln, Deutschland",https://de.ra.co/clubs/236937,fi = altshift5 with Ryan Elliott & Lafari,2024-10-05,Sat 23:00,Sun 08:00,https://de.ra.co/events/1853244,N/A,N/A,15,N/A,N/A,"↓, Phil2, Ryan Elliott, Sophietje, , ↑, Lafari w/, Sophya, Steve Bonde 2b2 Rufous, Uwe Lacto, Zahara",18,"Techno, House","Samstag I 5. Oktober 2024

Der 5. Oktober ist der 278. Tag des gregorianischen Kalenders (der 279. in Schaltjahren), somit bleiben 87 Tage bis zum Jahresende. Nacht #26

↓
Phil2
Ryan Elliott 
Sophietje

↑
Lafari w/
Sophya
Steve Bonde 2b2 Rufous
Uwe Lacto
Zahara

Tickets im VVK bei Eventbrite und ab 23 Uhr an der Abendkasse.",UrsprungFi,"https://www.eventbrite.de/e/1022629421127, https://ursprung-fi.de, https://www.instagram.com/ursprung_fi/"
2013346,Cologne,Artheater,Ehrenfeldgürtel 127; 50823 Cologne; Germany,https://de.ra.co/clubs/6392,KLUENGEL KLUBNACHT #2 im Artheater,2024-10-05,Sat 23:00,Sun 08:00,https://de.ra.co/events/2013346,N/A,N/A,12,N/A,N/A,"CHUPA, Flavius, JOAN OLIVER, LCH8, nordcorreia.mp3, Rosilicious, TIM BEUME, Vagabund, VASEN",18,Techno,Unsere zweite Klubnacht im artheater - Tickets unter kluengel-klubnacht.ticket.io - wie immer nur 15€ pro Ticket.,ArtheaterCGN,https://kluengel-klubnacht.ticket.io/lbkkcy2t/?
1999266,Cologne,The Cage,"Rathenauplatz 6, 50674 Köln",https://de.ra.coNone,Kurhaus Afterhour,2024-10-05,Sat 08:00,Sat 18:00,https://de.ra.co/events/1999266,Kurhaus,https://de.ra.co/promoters/149600,12,N/A,N/A,"AEKO , NICK DEEKEN , Lyric , HWRD",18,Techno,"Kurhaus, the new techno afterhour in Cologne!

Dance with us to fast hypnotic underground techno beats and forget about going home!
No matter if you move on to us or come well-rested - get ready for a hot daytime session!

Timetable will be published shortly before on our Instagram page - Kurhaus.fm

-
Line up:
Aeko (Kontur)
Nick Deeken (TheGate Club)
Lyric (Selected Berlin)
HWRD (Toolboxxx Cologne)
-

Tickets will be available at the door. 
There will be an admission control and a briefing on the Kurhaus rules. You will only be admitted if you agree to this. 
From 2 pm reduced entrance fee of 10 euros for our last closing dancers.
Enjoy the moment - photos and videos are not permitted.

Dress code: Dress to sweat
Time: 8 am - 6 pm
Location: The Cage, Rathenauplatz 6, 50674 Cologne 
",Kurhaus,N/A
2007182,Cologne,Bootshaus,Auenweg 173; 51063 Cologne; Germany,https://de.ra.co/clubs/11085,NIBIRII W. Alfred Heinrichs / Nusha / Camo & Krooked,2024-10-05,Sat 22:00,Sun 07:00,https://de.ra.co/events/2007182,Bootshaus,https://de.ra.co/promoters/75390,8,N/A,N/A,"Mainfloor:, Alfred Heinrichs, Nusha, KEVIN ARNOLD, , BLCKBX:, Camo & Krooked, Gourski, REBKO, LYNE, , Dreherei:, DELTA LABS, NICOM & HYPERION, SIR FERNANDES",18,"Drum & Bass, Techno",,MPaulick,https://bootshaus-club.ticket.io/k9nbzs4e/?_gl=1*1dspgd3*_ga*MTEyMTQ1MDE2NC4xNjk0NDM3ODU5*_ga_0B7QQDX64L*MTcyNjgyODA2Ny4yMDkuMS4xNzI2ODI4ODQyLjAuMC4w
2000412,Cologne,Gewölbe,"Hans-Böckler Platz 2, 50672; Cologne; Germany",https://de.ra.co/clubs/6765,"Phantasy Dance with dj sweet6teen, Fio Fa & Paul Rayner",2024-10-05,Sat 23:00,Sun 06:00,https://de.ra.co/events/2000412,N/A,N/A,8,N/A,N/A,"dj sweet6teen , Fio Fa , Paul Rayner",18,"Progressive House, House","Feel safe, feel free
Das Gewölbe soll für alle Gäste ein geschützter Ort sein. Deshalb gilt ein striktes Fotoverbot im gesamten Klub. Unabhängig von Herkunft, Geschlecht, sexueller Orientierung oder Religion erwarten wir von all unseren Gästen einen respektvollen Umgang miteinander. Homophobie, sexistisches oder rassistisches Verhalten sowie jegliche andere Form von Diskriminierung, Gewalt oder Beleidigungen haben im Gewölbe keinen Platz. Solltet ihr Zeug:innen von unangemessenem Verhalten werden oder selbst in eine unangenehme Lage kommen, wendet euch bitte jederzeit an unser Personal.

Gewölbe is intended to be a protected space for all guests. Therefore, a strict no-photography policy applies throughout the club. Regardless of origin, gender, sexual orientation, or religion, we expect all our guests to treat each other with respect. Homophobia, sexist or racist behavior, as well as any other form of discrimination, violence, or insults, have no place in Gewölbe. If you witness inappropriate behavior or find yourself in an uncomfortable situation, please reach out to our staff at any time.
",GewoelbeCologne,"https://gewoelbe.club, https://gewoelbe.ticket.io"
2015711,Cologne,TBA - via RSVP,N/A,https://de.ra.coNone,KLUENGEL PRE-PARTY,2024-10-05,Sat 17:00,Sat 23:00,https://de.ra.co/events/2015711,Kluengel Klubnacht,https://de.ra.co/promoters/145741,5,N/A,N/A,"AKOSH, FLACCO B2B JVNDRS (2), ALLEIRA, DJPLUSPLUS",18,Techno,"Free PreParty ab 17 Uhr in Ehrenfeld. Location via RSVP.

Danach KLUENGEL KLUBNACHT #2 im Artheater.",KluengelKlubnacht,"https://mailchi.mp/54fc54a029ba/fnt8gssbfu, https://kluengel-klubnacht.ticket.io"
2006510,Cologne,JAKI,"Venloer Str. 40,  50672 Cologne",https://de.ra.co/clubs/175118,"Tom-Tom Club feat. Clifford, Simon Hein, Anna Cainelli",2024-10-05,Sat 23:30,Sun 06:00,https://de.ra.co/events/2006510,N/A,N/A,3,N/A,N/A,"Clifford, Simon Hein , Anna Cainelli",18,"House, Funk / Soul","Clifford, born in Miami, raised in Glasgow, living in Cologne, is a gem in the city's venues as well as at Dublab, where he hosts his own radio show: Fife Trax. From wave, disco and Italo to house, electro and bass, he creates the right sound for every dancefloor with sensitivity. Simon Hein, who has been meandering through the Cologne club scene for more than ten years, is an old friend of the JAKI Klub. His proggy/techy house vibes from the late 90s and early 2000s regularly cause positive unrest on the dance floor.
Anna Cainelli is a DJ and part of the eight-member DJ crew E.P.I.Q. From rousing housey stuff to UK beats and seductive, rhythmic sounds: She sets herself no genre boundaries and plays whatever her heart desires and won't let her feet stand still. Since 2024, she has been doing just that in her monthly radio show ""Casa Cainelli"" on Callshop Radio, where she incorporates different genres that you haven't heard in her sets before.",Luisapaolini,N/A
2002100,Cologne,Odonien,Hornstrasse 85; 50825 Cologne; Germany,https://de.ra.co/clubs/10929,Odonien End Of Summer Rave,2024-10-05,Sat 23:00,Sun 08:00,https://de.ra.co/events/2002100,N/A,N/A,9,N/A,N/A,"Elegant Verlottert, Alex Hövelmann , Sarah Schmitter, Onno Roentgen, Julian Schraven , M.w.a.a.h. , Italo Cabral",18,"Techno, House","Wir feiern das Ende des Sommers mit einer milden Sommernacht - Noch ein letztes Mal Odonien im Sommermodus!

House & Techno auf Void Acoustics Soundsystemen von:

⌆ Elegant Verlottert (Köln) ⌆

⌆ Julian Schraven (AYAI Köln) ⌆

⌆ M.w.a.a.h. (AYA I Hamburg) ⌆

----------

Schienenhalle hosted by Garten Eden:

⌆ Alex Hövelmann (Anjunadeep / Garten Eden I Köln) ⌆

⌆ Sarah Schmitter (Garten Eden I Aachen) ⌆

⌆ Onno Roentgen (Garten Eden I Aachen) ⌆

⌆ Italo Cabral (Aachen) ⌆

----------

Odonien-Disco-Bus:

⌆ Joerg Seven & Roman Jacobs ⌆

----------

Tickets an der Abendkasse ab 23 Uhr die ganze Nacht!

----------

Im Club gilt absolutes Fotoverbot - Odonien soll ein Ort sein, an dem gelebte Solidarität an erster Stelle steht. Wir laden alle Menschen ein, eine gute Zeit miteinander zu verbringen. Jegliche Form von Diskriminierung hat hier keinen Platz. Gemeinsam wollen wir einen Raum schaffen, in dem sich alle akzeptiert und respektiert fühlen.

Kennt eure eigenen Grenzen und beachte die Grenzen von anderen Menschen.
Passt aufeinander auf!",Bonn1984,"https://www.eventbrite.de/e/odonien-end-of-summer-rave-tickets-986676083727?lang=de-de&locale=de_DE&status=30&view=listing, https://www.facebook.com/events/2115484995516395"
2007695,Cologne,Odonien,Hornstrasse 85; 50825 Cologne; Germany,https://de.ra.co/clubs/10929,Beats x Bass x Cologne in Odonien #MittWochenende,2024-10-09,Wed 23:00,Thu 06:00,https://de.ra.co/events/2007695,Beats x Bass x Cologne,https://de.ra.co/promoters/67549,4,General admission,13,"#Beats (Techno):, Ropemaker (Techno Allianz), Kevin Arnold (Kassiopeia/ Bootshaus), Ventris (Kassiopeia), , #Bass(Drum&Bass):, DSTN (Beats x Bass x Cologne), Enaly (Beats x Bass x Cologne), Sixten (Wave)",18,"Drum & Bass, Techno","Discover the pulse of Cologne every Wednesday at Beats x Bass x Cologne—the city’s go-to midweek techno and drum & bass gathering. Held at Odonien, a truly unique venue where art meets music, this night promises an unforgettable dive into underground sounds.

Odonien, the brainchild of artist Odo Rumpf, is more than just a venue—it’s an immersive experience. Situated in Ehrenfeld between the train tracks and Europe’s largest Eroscenter, this former scrapyard has evolved into a cultural oasis. With an open-air studio, artist workshops, event halls, and a vibrant beer garden adorned with striking metal sculptures, Odonien’s raw, industrial aesthetic is like stepping into a Mad Max-inspired playground for the arts.

Each week, Beats x Bass x Cologne hosts a lineup of local and international DJs, bringing high-energy beats and deep basslines to life. Dance under the stars amidst monumental sculptures and cutting-edge installations, fully immersing yourself in the city’s underground music scene.

Whether you’re a Cologne local or just passing through, join us for a midweek session that fuses the city’s alternative spirit with the power of techno and drum & bass. This is Cologne nightlife like you’ve never experienced before.",playcologne,https://linktr.ee/beatsbasscologne
2014446,Cologne,Reineke Fuchs,"Aachener Straße 50, 50674 Cologne, Germany",https://de.ra.co/clubs/67853,"NICE x LEKKER with Jeremy Reinhard & Freydel, Claus Casper",2024-10-10,Thu 23:00,Fri 06:00,https://de.ra.co/events/2014446,N/A,N/A,1,N/A,N/A,"Claus Casper  , Jeremy Reinhard, Freydel",18,"House, Deep House",,nielsfreidel,N/A
