event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
2013613,Düsseldorf,Schleuse Zwei,"Aachener Str. 39, 40223 Düsseldorf, Germany",https://de.ra.co/clubs/229211,RAR Vol. IV with PONDSKATER - LIVE,2024-10-06,Sun 19:00,Sun 23:59,https://de.ra.co/events/2013613,Schleuse ZWEI,https://de.ra.co/promoters/138831,0,N/A,N/A,"Pondskater (live), Miss Modular (DJ.Set), scumintern (DJ-Set) & DJ Edelescort (DJ-Set)",18,"Experimental, Electronica","Axel Ganz ist in der Düsseldorfer Musikszene als höchst umtriebiger, vielseitiger Musiker bekannt. Als Pondskater machte er sich im Mikrokosmos Düsseldorfs einen Namen und legt seinen Schwerpunkt inzwischen auf generative Musik. Das Label Hauch Records wie seine Live-Auftritte prägte er zwischen trockenem Electro, Post-Kraftwerk-artiger Elektronik und Samples alter georgischer Filmer und KI-generierter Gesprächsbeiträge. Gegenwärtig ist er regelmäßiger Gast der international operierenden Top-Lap Live-Coding Veranstaltungsreihe.

Miss Modular ist seit vielen Jahren als DJ und in diversen Bands in Düsseldorf und Umgebung tätig und ist mit DJ Edelescort Gründerin der Party-Reihe RAR. An diesem Abend legt sie in der Schnittmenge von Post-Punk und Krautrock auf.

scumintern bewegt sich auf der Achse Essen/Berlin und ist Stammgast Berliner Partys. Für RAR spielt sie ein Set zwischen Electro, Dark Disco und Wave.

Paul-Christian Erntges ist Inhaber von Hauch Records und mit Miss Modular Gründer der Party-Reihe RAR. Als DJ Edelescort ist er bereits in Bars, Clubs und Museen im Rhein-Ruhr-Gebiet vertreten gewesen und spielt in der Schleuse 2 eine club-orientierte Mischung aus Electronica/IDM, Post-Dubstep und Techno für die späte Stunde.
 

So. 06.10. / Einlass 19:00 Uhr / Beginn 20:00 Uhr 
VVK 8 € (zzgl. Gebühren) / AK 10 €",SchleuseZwei,"https://www.bilkerbunker.de/schleuse-zwei, https://www.hauch-records.de/"
2013618,Düsseldorf,Schleuse Zwei,"Aachener Str. 39, 40223 Düsseldorf, Germany",https://de.ra.co/clubs/229211,Ralf Stritt – Dub Funk Session,2024-10-09,Wed 19:00,Wed 23:59,https://de.ra.co/events/2013618,Schleuse ZWEI,https://de.ra.co/promoters/138831,1,N/A,N/A,"Ralf Stritt - Dub Funk Session (live), Ose (DJ-Set)",18,"Dub, Electronica","Mi. 09.10. / Einlass 19:00 Uhr / Beginn 20:00 Uhr 
Eintritt frei

Ralf Stritt – Dub Funk Session 
Konzert  
„Dub Funk Session“ – so heißt das Solo Album des Düsseldorfer Musikers Ralf Stritt, das jüngst auf dem italienischen Label Irma Records veröffentlicht wurde. Und genau das ist beim Konzert in der Schleuse Zwei auch zu erwarten: Analoge Synthesizer treffen auf einen Precision Bass, Drum Machines auf relaxte Percussion; konventionelle Grenzen werden gesprengt und machen Platz für eine außergewöhnliche Atmosphäre. In seinem Werk vereint Stritt Einflüsse aus Funk, avantgardistische Klänge und beeindruckende Soundlandschaften, die zu einem einzigartigen Hörerlebnis verschmelzen. Begleitet wird er von dem virtuosen Jazzgitarristen Michael Pott, dessen Improvisationen das musikalische Konzept bereichern und das Zusammenspiel von Elektronik und Jazz perfekt ergänzen.

Im Anschluss:
Barabend mit DJ-Set
OSE
weird synthesized Grooves",SchleuseZwei,"https://www.bilkerbunker.de/schleuse-zwei, https://ralfstritt.lnk.to/DubFunkSession"
1983933,Düsseldorf,The Paradise Now,"Hammer Str. 27, 40219 Düsseldorf, Germany",https://de.ra.co/clubs/196442,Marten Lou - The Paradise Now,2024-10-11,Fri 23:00,Sat 03:00,https://de.ra.co/events/1983933,The Paradise Now Club,https://de.ra.co/promoters/140602,9,N/A,N/A,Marten Lou,21,"House, Afro House","Marten Lou is a rising star in the deep and melodic house scene, known for his standout tracks “My Love For You (Yebba’s Heartbreak)” and “Another Life.” His music has garnered global attention and support from top artists like Keinemusik, Tiësto, and Camelphat. With releases on prestigious labels such as Drake’s OVO, FFRR, and Atlantic Records, Marten Lou has crafted a unique sound that has caught the ear of industry heavyweights, including Pete Tong, who featured his track on BBC Radio 1. His electrifying performances have taken him to iconic venues worldwide, solidifying his path to success.",Garciano,https://theparadisenow.com/duesseldorf/club/
2017959,Düsseldorf,Salon des Amateurs,Grabbeplatz 4; 40213 Düsseldorf; Germany,https://de.ra.co/clubs/15478,"Stacks, Archetype & Kaity Fox",2024-10-11,Fri 23:00,Sat 05:00,https://de.ra.co/events/2017959,N/A,N/A,1,N/A,N/A,"Stacks, Archetype, Kaity Fox",18,,"Salon is happy to be hosting two Knekelhuis artists for live sets on October 11th.

Archetype marks the new moniker by the ever-versatile Viennese Rotterdammer multidisciplinary artist Leonard Prochazka. Following his manifold of concept-driven, instinctive musical output, Archetype’s “The Ick” was released this summer, following “Strapazen und Genesung” as Geier Aus Stahl in 2022…utilizing dramatic vocals, industrial trip-hop, and post-punk-leaning electronics.

Stacks is the Belgian duo of brothers Jan and Sis Matthé. These Antwerp residents build and undress different timbres and textures into vocal-hooked songs, flouting the rules of pop in the process. Their latest album “Want” was released this summer.

12:30 Stacks (live)
1:30 Archetype (live)
DJ sets by Kaity Fox and Archetype
Artwork by Favorite Nightmares
Thanks Carharttwip for supporting",stlauri,https://www.instagram.com/p/DAwMZZesBB2/?img_index=1
1875975,Düsseldorf,Turbinenhalle,"Im Lipperfeld 25, 46047 Oberhausen, Germany",https://de.ra.co/clubs/82861,Blacklist Festival,2024-10-12,Sat 00:00,Sat 23:59,https://de.ra.co/events/1875975,N/A,N/A,4,N/A,N/A,kayzo,21,,"12. OCTOBER 2024
TURBINENHALLE OBERHAUSEN",miademello,N/A
2013622,Düsseldorf,Schleuse Zwei,"Aachener Str. 39, 40223 Düsseldorf, Germany",https://de.ra.co/clubs/229211,Miki Yui - Live,2024-10-17,Thu 19:00,Thu 23:59,https://de.ra.co/events/2013622,Schleuse ZWEI,https://de.ra.co/promoters/138831,0,N/A,N/A,Miki Yui (live),18,"Experimental, Electronica","Do. 17.10. / Einlass 19 Uhr / Beginn 20:30 Uhr
VVK 8 € (zzgl. Gebühren) / AK 10 €

Miki Yui 
Konzert

Miki Yui ist in Tokio geboren und lebt seit 1994 in Düsseldorf. Die Wurzeln der multidisziplinären Künstlerin und Komponistin liegen in der bildenden Kunst. Daher überrascht es nicht, dass bei ihr die Grenzen des musikalischen, performativen und installativen Schaffens fließend sind.

Yui erforscht die Grauzone unserer Wahrnehmung und Vorstellungskraft, wodurch sie poetische (Klang-)Werke erschafft.

Seit ihrem ersten Album „small sounds“ in 1999, ist sie bekannt für ihren einzigartigen minimalistischen und organischen Ansatz in der Musik. Sie verwebt Klänge aus Synthesizer, Sampler und Field-Recordings zu einem intensiv sinnlichen, fast haptischen Hörerlebnis. So enthüllt Yui die Schönheit der Leere, das Phänomen der Koexistenz und Resonanz.

„Miki Yuis Kreationen ahmen die Strukturen der Natur nach, und sie gehen weit über den Versuch hinaus. Sie sind dort erfolgreich, wo andere scheitern,“ so Detlef Weinrich (Tolouse Lowtrax).

In der Schleuse Zwei präsentiert die Ausnahmekünstlerin ihr im September 2024 erschienenes 8tes Solo Album “AS IF” von Label Hallow Ground.",SchleuseZwei,"https://www.bilkerbunker.de/schleuse-zwei, https://mikiyui.bandcamp.com/"
1872484,Düsseldorf,Turbinenhalle,"Im Lipperfeld 25, 46047 Oberhausen, Germany",https://de.ra.co/clubs/82861,BLACK OUT: Front 242,2024-10-19,Sat 23:00,Sun 06:00,https://de.ra.co/events/1872484,N/A,N/A,2,N/A,N/A,Front 242,18,,,ariellenyc,N/A
1926609,Düsseldorf,The Paradise Now,"Hammer Str. 27, 40219 Düsseldorf, Germany",https://de.ra.co/clubs/196442,Eran Hersh - The Paradise Now,2024-10-19,Sat 23:00,Sun 03:00,https://de.ra.co/events/1926609,The Paradise Now Club,https://de.ra.co/promoters/140602,1,N/A,N/A,Eran Hersh,18,"House, Afro House","E""Eran Hersh, a Miami-based DJ and music
producer, embarked on his musical journey in
2021, residing in New York City. Fast forward to
2022, Eran's transformative year included
performances at top clubs and festivals spanning
the USA, Spain, France, Germany, Sweden,
Morocco, the UAE, and other global destinations.
In 2023, Eran's career reached new heights when
he collaborated with musical icons Madonna,
Blondish, and Darmon on the groundbreaking
project ""Sorry.
"" This collaboration swiftly claimed
the number one spot on charts in an impressive
76 countries and dominated the Beatport chart
within just three days.
Adding to his achievements, in December of
2023, Eran secured another number one on the
Beatport Indie chart with the release titled
""PATT.
""
Eran's Afro House hit ""Rej"" from 2023 secured
the number one position on the Beatport chart,
further solidifying his prominent status. With
Spotify streams surpassing 30 million, he
demonstrated widespread popularity.
With a devoted fan base and the respect of fellow
artists, Eran Hersh has played all over the world,
gracing the stages of top clubs and global
festivals. Keep an eye on this extraordinary talent
as he continues to captivate audiences and
inspire music enthusiasts worldwide.
""",Garciano,N/A
2013626,Düsseldorf,Schleuse Zwei,"Aachener Str. 39, 40223 Düsseldorf, Germany",https://de.ra.co/clubs/229211,sipgate Undays with SILVAN STRAUSS - LIVE,2024-10-29,Tue 19:00,Tue 22:00,https://de.ra.co/events/2013626,Schleuse ZWEI,https://de.ra.co/promoters/138831,0,N/A,N/A,Silvan Strauss (live),18,"Hip-Hop, Jazz","Do. 29.10. / Einlass 19 Uhr / Beginn 20 Uhr

sipgate Undays w/ Silvan Strauss (live)

Von der Elbphilharmonie in den Bilker Bunker: Der in Hamburg lebende Schlagzeuger, Beatmaker und Produzent Silvan Strauss ist ein musikalischer Reisender zwischen all den Grooves, Spirits und Sounds, die Freiheit, Freude und Frieden verkörpern. Auf seiner Reise verschlägt es ihn jetzt glücklicherweise in die Musikbar Schleuse Zwei!

 

Silvan Strauss, dessen DIY-Breaks auf TikTok für Furore sorgen, gehört zu den herausragendsten Jazz-Schlagzeugern Europas. Nicht nur lässt er die Kunst des analogen und organischen Beatmaking wieder aufleben; mit seinem Stil bewegt er sich zudem mühelos zwischen verschiedenen Spielarten des Jazz bis hin zu zeitgenössischen urbanen Klängen.

»Musik hat für mich viel mit Träumen zu tun«, sagt der Drummer, der 2021 mit dem renommierten Hamburger Jazzpreis ausgezeichnet wurde, im Elbphi Interview. Worum es ihm geht: Momente und Emotionen mit anderen Menschen zu teilen. 

Geboren in Kempten, spielte Silvan spielte schon als Kind auf allem Schlagzeug, was er in die Finger bekam. Er wirkte im Bayerischen Landesjugendjazzorchester mit, produzierte Beats und wechselte zwischen Punk- und Hip-Hop-Bands, um schließlich an der Hamburger Musikhochschule zu studieren. Seitdem ist er in zahlreichen Kollaborationen zu Hause; arbeitete mit Größen wie Maria João, Soweto Kinch, Salomea, Omer Klein, Guinga, Farhot, Cro, Clueso, Nneka, der WDR Bigband, der NDR Bigband, Nils Landgren und Till Brönner. Den immensen Input aus diesen Arbeiten lässt Strauss auch in sein eigenes Projekt Toytoy einfließen, in dem er produziert und mit seinen Bandkollegen an der Vision von experimenteller Groove-Musik arbeitet.

Seine eigene Musik veröffentlicht der Ausnahmekünstler auf Kabul Fire Records – das zweite Studioalbum FLUKIN’ mit beeindruckenden Feature Gästen wie Oscar#Worldpeace, Joe Armon-Jones, Salomea, Farhot oder Mehdi Qamoum wird Ende 2024 erscheinen.

»Silvan Strauß steht für eine zukunftsweisende junge Hamburger Jazzszene! (…) Ein technisch herausragender Jazzschlagzeuger, der stilistisch so vielfältig ist, wie kaum ein anderer.«

Jury des Hamburger Jazzpreises

VVK 12 € (zzgl. Gebühren) / AK 15 €",SchleuseZwei,"https://www.bilkerbunker.de/schleuse-zwei, http://silvanstrauss.com/"
2013629,Düsseldorf,Salon des Amateurs,Grabbeplatz 4; 40213 Düsseldorf; Germany,https://de.ra.co/clubs/15478,Etane & Voltmar,2024-11-01,Fri 22:00,Sat 05:00,https://de.ra.co/events/2013629,N/A,N/A,4,N/A,N/A,"Etane, Voltmar",21,,,minimood,"https://soundcloud.com/etanesounds, https://soundcloud.com/voltmar"
