event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
1995724,Frankfurt,Four Snacks,"Neue Mainzer Str. 24 , Germany",https://de.ra.coNone,Smiles,2024-10-05,Sat 23:00,Sun 06:00,https://de.ra.co/events/1995724,"Skyline Grooves, Abraham","https://de.ra.co/promoters/118642, https://de.ra.co/promoters/118829",41,Early bird,11.3,"Abraham (GER)Bambi-S, Gianni Millano",18,House,,skylinegrooves,https://www.instagram.com/skylinegrooves/
1989717,Frankfurt,Kreativfabrik Wiesbaden,Murnaustrasse 2; 65189 Wiesbaden; Germany,https://de.ra.co/clubs/41261,"TEN SHADES OF ROT - HOUSE, TECHNO & ART",2024-10-05,Sat 20:00,Sun 04:00,https://de.ra.co/events/1989717,SURREALISMUS,https://de.ra.co/promoters/136061,24,Early bird,6,"Jamin, Lisa Liesinger , SYN3K, ROUSEL b2b Ben L alias RödL",18,"Techno, House","„Ab und zu ist es eine Freude, einen von Wein und Rosen rot gefärbten Tisch zu haben.“ - Oscar Wilde

So oder zumindest so ähnlich fühlen wir uns auch als Kollektiv - und möchten unsere nächste Veranstaltung um die Farbe rot herum gestalten. Alles was rot ist, kommt an besagtem Abend in unsere zweite Heimat: Die Kreativfabrik Wiesbaden. 
Dazu haben wir einmal mehr 11 Künstler*innen eingeladen, bei unserer Exhibition auszustellen. Begleitet wird der Abend von DJs aus Wiesbaden, Köln, Gießen und Berlin, die uns mit ihrer Musik zum roten Tanze einladen werden! Für alle, die sich nur beim Bewegen und nicht beim Kunst-Beobachten sehen, wird es eine Abendkasse ab 23 Uhr geben. Von dort an kann bis in die Morgenstunden getanzt werden!
Markiert es euch im Kalender: Schon bald werden die Hallen der Krea wieder geschmückt! Und dieses Mal wird alles ROT…

Wir freuen uns auf euch! <3

Eckdaten:
Datum 05.10.2024
Beginn: 20 Uhr
Ort: Kreativfabrik Wiesbaden
VVK: 8€/AK: 10€",juto12,https://www.instagram.com/surrealismus.studios/
2001858,Frankfurt,Artificial Family e. V.,"Rabenlohweg 5, 63165 Mühlheim, Hessen, Germany",https://de.ra.co/clubs/137035,RAWAX micro GARDEN FESTIVAL - SEASON CLOSING at GRÜNER SEE MÜHLHEIM,2024-10-05,Sat 14:00,Sun 01:00,https://de.ra.co/events/2001858,RAWAX,https://de.ra.co/promoters/75057,18,Early bird,11.3,"Move D , Meat , Robert Drewek , Matt Star , Alex Maier, Alexandra Glombek, Moritz Kern",18,"House, Electro","Unser großes Finale am Grünen See im wunderschönen Kleinod der Artificial Family, steigt am Samstag, den 05.10.24. Die Veranstaltung findet zu 100% statt, denn wir sind überdacht und der Oktober ist ja bekanntlich golden!

Line-up:
Move D
Meat
Matthias Schildger
Robert Drewek
Alex Maier
Alexandra Glombek
Moritz Kern


Sichert Euch am besten Early Bird-Tickets für faire 10.00€

Start: 14.00 Uhr
Ende: 00.00 Uhr +
Wo: Artificial Family E.V.
Rabenlohweg 5
63165 Mühlheim am Main",robert.d,https://fb.me/e/4T1keq1i5
2000941,Frankfurt,Elfer Club,"Kleine Rittergasse 14-20, 60594 Frankfurt am Main, Germany",https://de.ra.co/clubs/103205,Ein Ire Irre Nacht,2024-10-05,Sat 22:00,Sun 05:00,https://de.ra.co/events/2000941,Chris Ire FFM,https://de.ra.co/promoters/149749,6,General admission,5,"Come and join us as we set sail deep underground on an all-night expedition to explore the outer boundaries of jungle, drum’n’bass and techno, steering our way through the heaviest and most immersive of system music. Expect to hear the past, present and future of all three genres as the selectors dig deep to make those bassbins sing. One vibe, one community - join us until the small hours., , bonz (jungle and d’n’b), , Polytoxic  b2b Ian The Machine (hard techno), , GooGooGaaGaa (groovy house), , BlechFunken b2bh Bassterix (live tekk)",18,"Drum & Bass, Techno",A genre music night celebration ,ChrisIrishFFM,https://ireirre.ticket.io/8d8a8z1y/
1941569,Frankfurt,Zoom Club,Brönnerstr. 5-9; 60313 Frankfurt; Germany,https://de.ra.co/clubs/19068,Kinky Galore Berlin by Jan Ehret in Frankfurt am Main @ZOOM,2024-10-05,Sat 22:00,Sun 06:00,https://de.ra.co/events/1941569,Jakob Lesch,https://de.ra.co/promoters/143710,9,N/A,N/A,"Jan Ehret , Jakob Lesch",18,"Techno, Tech House","Hallo Ihr Lieben,

was für eine unglaubliche Nacht mit euch im ZOOM – vielen Dank dafür!
Nun geht es erstmal in eine große Sommerpause, in der wir nicht in Frankfurt gastieren werden. Dafür kommen wir dann Anfang Oktober zurück zu euch. Der Club in der Location des ehemaligen Cocoon Clubs, ist inzwischen zu einer unserer Lieblings-Adressen in Deutschland geworden.

Wir werden mit frischer Energy und neuen Ideen zurückkehren, um mit euch eine Nacht zwischen Kunst, Fetisch und Hedonismus zu feiern, die ihr nicht vergessen werdet. Was genau euch alles erwartet, verraten wir wie immer im Vorfeld nicht. Das Line-up erfahrt ihr nach und nach.

Der Vorverkauf ist in den ersten Wochen exklusiv für unsere KINKY GALORE Circle Member freigeschaltet. Erst am 18. Juli schalten wir ihn für alle frei. Wenn ihr noch keine Member seid, könnt ihr euch hier kostenlos & unverbindlich registrieren.

Genießt den Sommer & stay kinky 
jan.ehret, Sarah Woods & die KINKY GALORE Crew
_____________________________________

STRICT DRESSCODE
– alle Details hier

_____________________________________

Line-up
jan.ehret (KINKY GALORE BERLIN)
Jakob Lesch (KINKY GALORE BERLIN)
TBA

_____________________________________

Einlass ist nur mit einem Ticket von ticket.io möglich
Wenn die Party ausverkauft ist, gibt es keine Abendkasse
Weiterverkauf der Tickets ist nur über TicketSwap erlaubt
Alle wichtigen Infos zur Party bekommst du in der Woche davor per Mail
_____________________________________

Alle wichtigen Details zur KINKY GALORE findest du hier

Alle wichtigen Infos zur Location findest du hier",jakoblesch,"https://kinkygalore.net/, https://www.instagram.com/kinky_galore_jan.ehret/"
1989804,Frankfurt,Roof 175,"Rheinallee 175 55120 Mainz, Germany",https://de.ra.co/clubs/156998,𝖗𝖔𝖚𝖌𝖍 𝖈𝖚𝖗𝖊 meets Butan with ECZODIA,2024-10-05,Sat 23:00,Sun 08:00,https://de.ra.co/events/1989804,N/A,N/A,5,N/A,N/A,"ECZODIA, DeGuzman , David Suono , Lennox b2b Luzius, Josh Yob., petzdas5k, Nouha b2b 200Xans",18,"Trance, Techno","𝖗𝖔𝖚𝖌𝖍 𝖈𝖚𝖗𝖊 meets Butan 

Welcome to the club season!

Wir haben uns die Truppe des legendären Butan eingeladen um die Club Season einzuleuten und dies gebührend zu feiern.
Angeführt wird die Nacht von niemand geringerem als Produktions-Ass und Durchstarter ECZODIA.

Niemand der die letzen Monate die Techno Floors unsicher gemacht hat, ist an seinen Tracks vorbei gekommen, also freut euch auf diesen wahnsinns Gast!

Neben unseren & Butans Residents gibt uns die Stimmungsmaschine David Suono die Ehre. Ein lang ausstehendes Treffen!

Also seid auf jeden Fall wieder an Board für die nächste RC!
Tickets jetzt im VVK oder ab 2300 Uhr an der Abendkasse.

𝕃𝕚𝕟𝕖𝕌𝕡
ECZODIA
DeGuzman
David Suono
Lennox b2b Luzius
Josh Yob.
Petzdas5k
Nouha b2b 200Xans

𝕎𝕒𝕟𝕟
05.10.2024
Start:
23:00 Uhr ROOF.indoor

𝕋𝕚𝕔𝕜𝕖𝕥𝕤
Ab 18 Jahren
An der Abendkasse
VVK jetzt online

𝕎𝕠
ROOF 175
Rheinallee 175
55120 Mainz-Mombach

𝕎𝕚𝕣 𝕤𝕚𝕟𝕕 𝕗ü𝕣 𝕖𝕦𝕔𝕙 𝕕𝕒!
Falls ihr euch unwohl fühlt in einer Situation oder euch nicht gut ist, scheut euch nicht und setzt euch mit unserer Crew in Verbindung. Ihr findet uns an der Kasse & Rund ums Pult! (Gekennzeichnet mit einem Schlüsselband&RC Anhänger um den Hals)

𝔼𝕣𝕣𝕖𝕚𝕔𝕙𝕓𝕒𝕣𝕜𝕖𝕚𝕥 & ℙ𝕒𝕣𝕜𝕡𝕝ä𝕥𝕫𝕖
Öffentliche über Bahnhof Mainz Nord oder Bahnhof Mombach jeweils 5 Minuten Fußweg
Mehr als Ausreichend Parkplätze neben dem Club.

𝕎𝕚𝕖 𝕜𝕒𝕟𝕟 𝕚𝕔𝕙 𝕤𝕦𝕡𝕡𝕠𝕣𝕥𝕖𝕟?!
Über Support wir teilen und Freunde einladen würden wir uns immer freuen.

Join the Cult!
",DeGuzman,https://roughcure.ticket.io/
1987677,Frankfurt,Zoom Club,Brönnerstr. 5-9; 60313 Frankfurt; Germany,https://de.ra.co/clubs/19068,KINKY GALORE Frankfurt,2024-10-05,Sat 22:00,Sun 06:00,https://de.ra.co/events/1987677,jakoblesch,https://de.ra.co/promoters/147037,2,N/A,N/A,"AMAR, Jan Ehret , Woanders, Daggy Style (ZWIELICHT. B2B Dagi Assefa )",18,"Techno, Electro","Hallo Ihr Lieben,

was für eine unglaubliche Nacht mit euch im ZOOM – vielen Dank dafür!
Nun geht es erstmal in eine große Sommerpause, in der wir nicht in Frankfurt gastieren werden. Dafür kommen wir dann Anfang Oktober zurück zu euch. Der Club in der Location des ehemaligen Cocoon Clubs, ist inzwischen zu einer unserer Lieblings-Adressen in Deutschland geworden.

Wir werden mit frischer Energy und neuen Ideen zurückkehren, um mit euch eine Nacht zwischen Kunst, Fetisch und Hedonismus zu feiern, die ihr nicht vergessen werdet. Was genau euch alles erwartet, verraten wir wie immer im Vorfeld nicht. Das Line-up erfahrt ihr nach und nach.

Stay kinky & bis bald,
jan.ehret, Sarah Woods & die KINKY GALORE Crew",KINKYGALORE,https://kinkygalore.net/event/frankfurt-4
2014645,Frankfurt,Pracht,"Niddastr. 54, 60327 Frankfurt am Main, Germany",https://de.ra.co/clubs/99940,PrachtNACHT with DOBE & SAMI HUGO,2024-10-05,Sat 22:00,Sun 06:00,https://de.ra.co/events/2014645,Pracht_FFM,https://de.ra.co/promoters/143369,1,N/A,N/A,"DOBE , @Sami-Hugo",21,"Progressive House, Afro House","PRACHTNACHT w/ 

DOBé’s signature sound transmits emotion
through soaring memories, although you have
never heard anything quite like this before.
His shows are characterized by dark acoustic
elements and deep sounds that subtly transition
into a more melodic rhythm driving his audience
into an euphoric mood. His music can be
described as Techno with borrowed elements from
Deep Tech and Melodic Techno which make a
very groovy and hypnotic mix.
With his first releases he immediately got the
support of established producers and DJs like

Richie Hawtin, Joseph Capriati, Ilario Ali-
cante,Township Rebellion, Paco Osuna,

Electronic Groove and Ibiza Live Radio among
others and entered the Top 20 Beatport Techno
Charts after just one week.
His initial breakthrough came when he was picked
up to do a Remix of the Grammy Award Winning
Song 'Baraye', which started to turn heads and
poralized all over the world.

Support: 

SAMI HUGO",Prachtbarffm,N/A
2013034,Frankfurt,Housebar 55,Elbestraße 5560329 Frankfurt am Main,https://de.ra.co/clubs/176910,Portal,2024-10-04,Fri 22:00,Sun 06:00,https://de.ra.co/events/2013034,N/A,N/A,1,N/A,N/A,"Easy Lee, Frank Fruit, The Minimal Project",18,Tech House,"drink, dance, be positive...",EasyLeeDj,https://www.facebook.com/housebar55
1994912,Frankfurt,Four Snacks,"Frankfurt, 60486, Neue Mainzer Str. 24 , Germany",https://de.ra.coNone,Monsoon Records / Label Night with Christian Burkhardt & Chris Wood,2024-10-11,Fri 23:00,Sat 06:00,https://de.ra.co/events/1994912,Monsoon,https://de.ra.co/promoters/131209,15,N/A,N/A,"Christian Burkhardt , Chris Wood , Vaio , Åres , Sven Boddenberg",18,"Tech House, Minimal","Christian Burkhardt & Chris Wood are driving pillars of Frankfurt's electronical music scene since more than 25 years. We are honored to have them on our album and excited to have them as insane sound providers at the FOUR Snacks deep on the urban jungle.

Support by Monsoon: Ares, Sven Boddenberg, VAIO

Better get yourself a pre-ticket, due to limited capacity.",Vaioffm,https://monsoon.ticket.io
