event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
2014235,Hamburg,Baalsaal,Reeperbahn 25; 20359 Hamburg; Germany,https://de.ra.co/clubs/7522,Exit with Negitiv,2024-10-04,Fri 23:00,Sun 08:00,https://de.ra.co/events/2014235,Stardust Gastro,https://de.ra.co/promoters/87222,18,General admission,20,"Negitiv , Robert Hud, Robin Ruthless , Made By Hoom, Ozaki",18,Techno,"Here we are again 

After a short break, we start our next EXIT this Friday from 11 pm at Baalsaal. 

The free development of each individual is very important to us, which is why we have an awareness and psycare team on site. We want to create a safe space for you. No place for homophobia, racism and sexism!
Location:
Baalsaal 

Ticketpreis: 20€ 

Line up: 
Negitiv 
Robert Hud 
Robin Ruthless 
Made by hoom 
Ozaki 

We are looking forward to see you 
",StardustGastro,https://www.instagram.com/exit__hh/
2008402,Hamburg,Club Frau Holle,"Friedrichsstrasse 9, 20359 Hamburg",https://de.ra.co/clubs/190523,INVITED x BERLIN ROOM with AAVA & VABU,2024-10-05,Sat 23:59,Sun 08:00,https://de.ra.co/events/2008402,Dominic Lehmann,https://de.ra.co/promoters/141345,49,General admission,14.7,VABU AAVA Cosmokat DIESEN @lucasdario,18,"Techno, House","Aava alias Avarello Jean - Yves was born in 1981 in Belgium, he is made known to the Belgian electronic scene in the early 2000, won several competitions Dj Belgian and also with the famous contest appartition in English ""Bedroom Bedlam"". Occurs in the Best Belgian clubs like Fuse, La Rocca, Silo, Montini and The Cherry Moon. For over 10 years he accumulated residencies and prestations with his captivating musical style. He draws much inspiration from the Duo ""Deep Dish"", his idols.Since 2011 has decided AAVA marked a turning in his dj career and decides to get a producing his own tracks. He published his own productions on labels like elegant bit (Italy), reload (Italy), share Records (Portugal) and those that are listed. In 2013, the hard work begins to bring him satisfaction because its tracks are found at the top of the charts and played by pioneers such as Marco Carola, Richie Hawtin, Danny Tenaglia, Dubfire, Yaya, Sneak, Nicole Moudaber, well other.In a few years went by Aava , Ibiza, France, Holland, Luxembourg.He is always changing on the Belgian and foreign scene and you exudes a captivating deephousysexytechno.Listening is adopted.",HNF,N/A
1995907,Hamburg,Uebel & Gefährlich,Feldstrasse 66; 20359 Hamburg; Germany,https://de.ra.co/clubs/4906,"VER: pres. Pegassi, Benwal & P.Vanillaboy at Uebel&Gefährlich",2024-10-05,Sat 23:59,Sun 08:00,https://de.ra.co/events/1995907,VER:,https://de.ra.co/promoters/101506,39,N/A,N/A,"Pegassi, Benwal, P.Vanillaboy, ONLYLU, Carluschka",18,"Trance, Techno","■ Key Facts ■
Date: 05.10.2024
Start: 23:59
Uebel&Gefährlich

■ LINE UP ■
PEGASSI
BENWAL
P.VANILLABOY
ONLYLU
CARLUSCHKA


Please use Ticketswap to resell tickets safeley:


* Admission from 18+
* The purchase of tickets does not grant guaranteed admission, subject to approval.
* No photo/video policy on the dancefloor. There might be a videographer on the stage, filming the artists.",RaphaelStier1991,"https://www.instagram.com/ver.hamburg/?hl=de, https://xceed.me/de/hamburg/event/ver-pres-pegassi-benwal-pvanillaboy-uebelgefahrlich--165468"
2006002,Hamburg,Südpol,"Süderstraße 112, 20537 Hamburg",https://de.ra.co/clubs/125232,MOLOCH CLOSING - 5 JAHRE DICHT,2024-10-04,Fri 23:59,Sun 22:00,https://de.ra.co/events/2006002,N/A,N/A,17,N/A,N/A,"A.B.U., Alma Linda, Barnabass, Benet Rix, Borella b2b Robin Dey, Coss (Live), Daunbert, doob b2b Janoma, ESSHAR, EXZ (Live), Gun!lla b2b O/Y, Günni Gatzen b2b Sven., Gwen Wayne b2b Klaus Störtebretter, Harmon (Live), Heimlich Knüller, Jeanette Trèsbien, Karhua, lil.lili (Live), Metaflex aka DARKDIETER Hybrid (Live), nix.is, ple:xy, PONY, Rakäthe, Schense b2b Linus Duewer, Schrottbingo & Alle Fragen DJ Set, ShuShu, Timo Turner, TschuTschie, VIKwhatever, Yazz Ewok",21,,"Da reißt euch die Dachrinne ab. Der Wellensittich wird lackiert. 
Muttis Dichtgeschichten von Freitag bis Sonntag mit Akteur:innen der Extraklasse.

RUNNING ORDER
______________
FREITAG, 04.10. AB 23.59H

Timo Turner
Karhua
Yazz Ewok
Metaflex aka DARKDIETER Hybrid (Live)
nix.is
Heimlich Knüller
ESSHAR
VIKwhatever
Exz (Live)
______________
SAMSTAG, 05.10. AB 08.01H

Alma Linda
ShuShu
Barnabass
Borella b2b Robin Dey
Schrottbingo & Alle Fragen DJ Set
Harmon (Live)
______________
SAMSTAG, 05.10. AB 21.01H

A.B.U.
Rakäthe
Pony
Daunbert
Gwen Wayne b2b Klaus Störtebretter
Jeanette Trèsbien
lil.lili (Live)
doob b2b Janoma
Benet Rix
TschuTschie
______________
SONNTAG, 06.10. AB 08.02H

Günni Gatzen b2b Sven.
ple:xy
Gun!lla b2b O/Y
Schense b2b Linus Duewer
Coss (Live)

* 46H NON-STOP
* NO PRESALE
* 21+",Suedpol,https://www.suedpol.org
2007824,Hamburg,Frappant,"Bodenstedtstraße 16, 22765 Hamburg, Germany",https://de.ra.co/clubs/41672,CLUB CRITTERS by Action Replay Codes,2024-10-05,Sat 23:30,Sun 07:00,https://de.ra.co/events/2007824,Action Replay Codes,https://de.ra.co/promoters/86193,15,N/A,N/A,"Coco Cobra , Chinyere , Aitch , DJ SIMLOCKED , Memorycardio , soniccollide , Fokko, DJ Max Power",21,"Breakbeat, Ghetto Tech","Your favorite action gang is coming back for the fourth instalment of our Club Critters series! As they say, fourth time's the charm, so we wanna welcome you to the next throwdown at our battle arena commonly known as the Frappant Kachelraum!

As for this editions combatants we're very happy to introduce well versed bass virtuoso Coco Cobra to the ring, who'll be sure to catch the crowds excitement with her multifaceted sonic battleskills!

Don't feel too safe though, as we got some experienced competition to follow that up: Chinyere, who delivered bass frequencies so low you had to dig for 'em at our first party, will be back and they'll be ready to do what they do best for a second round!

Lastly, we got an announcement to make as another familiar face in Fokko will join the fight - and that said our fixed roster as well as we welcome him to join the Action Replay Codes crew for the battles to come!

All 3 are going to throw it down with our resident crew in exciting versus sets throughout the night, so do we need to say any more?! Round 4 - Fight!

Again thanks to our incredible friends, the supporters, the rebels, the movers, and the shakers—our crew. They make all this possible.

Grab your friends, star-crossed lovers & rivals and come together for a genre-mashing bass throwdown at FRAPPANT Kachelraum. Come early, stay late! 
______
DOORS 23:30! You get a bonus when you come before midnight.
______
Our event is and remains no place for sexism, racism, misogyny, homophobia or transphobia! If you or someone you know feel uncomfortable, please talk to our crew. Hateful behavior will not be tolerated.
______
Eingang Hof Bodenstedtstraße 16, Hamburg Altona",aitch-Dreckkummer,"https://www.instagram.com/actionreplaycodes/, https://soundcloud.com/actionreplaycodes, https://frappant.org/"
2003592,Hamburg,Golden Pudel,Am St. Pauli Fischmarkt 27; 20359 Hamburg; Germany,https://de.ra.co/clubs/4907,AOS ALLSTARS INVITES,2024-10-05,Sat 22:00,Sun 07:00,https://de.ra.co/events/2003592,THE AOS,https://de.ra.co/promoters/118822,11,N/A,N/A,"Anton Jonathan , DJ Babyblade , DJ SOURCE , EliaHaze , SZELEST",18,"Breakbeat, Techno","THE AOS ALLSTARS RETURNS TO THE GOLDEN PUDEL CLUB

NO PRESALE
TICKETS AT THE DOOR
8€",EliaHaze,N/A
2002396,Hamburg,Edelfettwerk,"Schnackenburgsallee 202, 22525 Hamburg",https://de.ra.co/clubs/14250,ACCES ALL AREAS,2024-10-05,Sat 23:00,Sun 08:00,https://de.ra.co/events/2002396,ACCES ALL AREAS,https://de.ra.co/promoters/149874,33,N/A,N/A,"MCMLXXXV, LOLSNAKE , SPEEDBOYS, 3, 142 , AKIIM , ANTONYM , DJ BREAKLESS , FUEGA , DOESNT MATTER , HAEDER , HATHOR , L.ZWO , TEMAZCAL , SECRET ACT",18,"Trance, Techno","The first edition of “ACCESS ALL AREAS“, a sex-positive all-night event by LA COVA, TRANCE with FRIENDS and EDELFETTWERK is finally arriving in Hamburg on October 5th. A celebration across 3 stages that bands together Hamburg's queer, fetish and kinky community without compromising on the event’s main focus: the quality of its music. To satisfy your cravings for a truly hedonistic experience, we are bringing in Herrensauna Founder MCMLXXXV alongside Berghain Resident LOLSNAKE and many more.

+++

+ DOOR POLICY: ACCESS ALL AREAS strives to be a safer space for the queer and sex-positive community. This is underpinned by a set of strict house rules and event guidelines.

+ HOUSE RULES: Each person is responsible for the smooth running of the event. Together, we can ensure that the evening is a pleasant experience for everyone. We therefore ask you to observe the following rules:

Respectful and considerate interaction towards others and with the environment, should be a given.

There is no place for abusive and/or intrusive behaviour. Sexism, racism, ableism and discrimination of any kind will not be tolerated.

Individual boundaries are always respected: No means no! And even more important: ONLY YES MEANS YES!

The use or threat of psychological or physical violence will not be tolerated.

If you see that another person needs help: Ask the person concerned or contact us. Do not leave it to ‘others’ to take action.

There is a strict NO PHOTO OR VIDEO POLICY in place.

Any transgression of these rules may result in exclusion from the event.

+ DRESSCODE: There is strict adherence to the dress code. Entry is only permitted under the following conditions: kinky and fetish wear, nude. No streetwear or professional attire!

+ AWARENESS: The awareness booth welcomes you anytime. If you have any questions, concerns or require support, you may reach out to us at any time. In addition, there will be easily recognisable awareness teams present on the different floors.

+ SPACE: Particular consideration has been paid to providing a lovingly decorated venue in line with the theme. The aim is to enhance the atmosphere and turn your experience of the night into a very special one.

+ DARKROOMS: The darkrooms offer enough space and privacy to enjoy yourself undisturbed in pairs or in groups. The darkrooms are equipped with mattresses for added comfort.

+ TICKETS: The purchase of a ticket does not grant guaranteed admission and is subject to approval. If certain rules are violated, admission may be refused.",Edelfettwerk,"https://shop.paylogic.com/f20741dbe6d54b18991b8fc99356821d, https://www.facebook.com/events/862091029395389"
2014436,Hamburg,Halle D,"Lagerstrasse 11, Hamburg, Germany 20357",https://de.ra.coNone,pinot.art Aftershow with Najeh & Shimmy Robin,2024-10-05,Sat 22:00,Sun 04:00,https://de.ra.co/events/2014436,N/A,N/A,5,N/A,N/A,Najeh  Shimmy Robin,21,,"announcing the official aftershow party w/ Najeh and Shimmy Robin for our pinot. art series weekend w/ Valeting Elias Renner.

No admission fee, as long as capacity allows.

we celebrate the start of our first pintot.art series with a bang at HALLE D, located in the heart of Hamburg’s Sternschanze. Drinks and bar run by pinot. with love and energy served by none other than @najeh.music and @shimmy.r0bin .
",pinotgrigio2024,https://www.exploretock.com/pinot-hamburg/experience/506869/pinotart-w-valentin-elias-renner-aftershow-w-najeh-shimmy-robin?date=2024-10-05&size=1&time=19%3A15
2000640,Hamburg,Fabrique im Gängeviertel,"Valentinskamp 34A, 20355 Hamburg, Germany",https://de.ra.co/clubs/236213,Paranatures Zauberwald,2024-10-05,Sat 22:00,Sun 07:00,https://de.ra.co/events/2000640,N/A,N/A,4,N/A,N/A,"Mergence , Majandra, Elias Wolff , Playtime, Leyna, Skarafan , Nunhafa, Confiance , Nemo Dage",18,"Techno, Psytrance","Wir holen den verwunschenen Zauberwald zurück in die Großstadt! Entflieht für eine Nacht am 05. Oktober 2024, ab 22 Uhr dem Großstadtdschungel und kommt herein ins bunte Feenland, wo unsere fleißigen Elfen und Wichtel bereits am werkeln sind. In neuen Farben und Tönen wird das Gängeviertel erblühen, wenn sich die Süßmäuse von paraDIGMA und Open Nature zusammenfinden um den Paranature Zauber nach Hamburg zu bringen. Freut euch auf einen bunten Mix aus Psytrance ,Techno, House und DnB und tanzt mit uns. 

In Liebe und bis bald

Euer Paranature Team ",Majandramusik,N/A
2017195,Hamburg,Uebel & Gefährlich,Feldstrasse 66; 20359 Hamburg; Germany,https://de.ra.co/clubs/4906,STELLA BOSSI,2024-12-06,Fri 23:59,Sat 06:00,https://de.ra.co/events/2017195,N/A,N/A,2,N/A,N/A,STELLA BOSSI,18,Techno,,Uebel,N/A
