event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
1947996,Hannover,Weltspiele,"Weidendamm 8, 30167 Hannover, Deutschland",https://de.ra.co/clubs/188465,GOAT BALL [Need More Speed Showcase],2024-10-05,Sat 23:00,Sun 08:00,https://de.ra.co/events/1947996,"GoatBall, Weltspiele, Need More Speed Hannover","https://de.ra.co/promoters/102735, https://de.ra.co/promoters/102868, https://de.ra.co/promoters/117979",269,Early bird,14,"a-z, Anyone, B2B Finn, Arman John, DJ Local B, B2B 5euroGoldi, DJ Traytex, EARGASM GOD, Konna, B2B Vamøs, B2B Vertek, Mareike Bautz, Melushka, SaltySis, Stinny Stone, Vivus , , Showcase by NeedMoreSpeed",18,"Trance, Techno","GOAT BALL Berlin is taking over Weltspiele, Hannover!

Join us for an unforgettable night filled with the finest music from our outstanding lineup and the unique spirit of GOAT BALL.

Happy to welcome our Hannover-based friends from NeedMoreSpeed, who will be doing a showcase.



// Only a limited number of pre-sale tickets are available via RA.

- RA ticket holders can use the pre-sale queue for fast access.
- Pre-sale tickets are offered at a discounted rate compared to tickets available at the door.
- An RA ticket does not guarantee entrance. In case of rejection, the ticket will be refunded.
- More tickets will be available for purchase at the door.

--------------------------------------------------------------------------------

// Nur eine begrenzte Anzahl von Vorverkaufstickets ist über RA erhältlich.

- RA-Ticketinhaber können eine separate Schlange nutzen, um schnelleren Zugang zu erhalten.
- Vorverkaufstickets werden zu einem ermäßigten Preis im Vergleich zu Tickets an der Abendkasse angeboten.
- Ein RA-Ticket garantiert keinen Eintritt. Im Falle einer Ablehnung wird das Ticket erstattet.
- Weitere Tickets sind an der Abendkasse erhältlich.",GhettoBall,N/A
1997654,Hannover,Klub PAN,"Engelbostler Damm 7, 30167 Hannover, Germany",https://de.ra.co/clubs/159634,unceen with Mischluft,2024-10-11,Fri 23:00,Sat 08:00,https://de.ra.co/events/1997654,unceen,https://de.ra.co/promoters/107917,360,Early bird,16.95,"Mischluft , Zoanthropiia , Moody (GER)",18,"Trance, Techno",,unceen,https://www.unceen.de
1999866,Hannover,Broncos,"Schwarzer Bär 7, Hanover, Germany 30449",https://de.ra.co/clubs/60223,Bulbul Berlin x Broncos w// Nikklaas & Better Call Paul ,2024-10-12,Sat 22:00,Sun 05:00,https://de.ra.co/events/1999866,N/A,N/A,18,N/A,N/A,Nikklaas & Better Call Paul,18,"House, Club","OPEN 22:00 / DJS 23:00-END

xx

Das Broncos Hannover belebt den ""schwarzen Bären"" seit mehr als einem Jahrzehnt. Von Donnerstag bis Samstag, findet man hier, in Hannover-Linden, eine Auswahl an House, Disco und zeitgenössischen Klängen. Also eine GUTE MISCHUNG aus vielen schönen Dingen.

↑ Broncos x Bulbul ↓

Bulbul Berlin (ehemaliger Farbfernseher) ist ein Club für elektronische Tanzmusik in der Skalitzer Str. 114 in Berlin-Kreuzberg. Hier finden regelmäßig HOUSE PARTIES im wahrsten Sinne des Wortes statt.",BulbulBerlin,N/A
2002764,Hannover,Klub PAN,"Engelbostler Damm 7, 30167 Hannover, Germany",https://de.ra.co/clubs/159634,PAN x Thomas Schumacher,2024-10-12,Sat 23:00,Sun 07:00,https://de.ra.co/events/2002764,KLUB PAN,https://de.ra.co/promoters/118586,6,N/A,N/A,"Thomas Schumacher , Alex Hall, K-Vee, Roger Prinz",18,,,KlubPAN,https://www.ticketticker.de/index.php/page/show/event/12102024-outside-world-club-night-mit-thomas-schumacher
1963908,Hannover,Klub PAN,"Engelbostler Damm 7, 30167 Hannover, Germany",https://de.ra.co/clubs/159634,"DUALISM w/ DJ SWISHERMAN, Projekt Gestalten, Sylvie Maziarz, Rocko Garoni",2024-10-18,Fri 23:00,Sat 08:00,https://de.ra.co/events/1963908,"DUALISMBERLIN, KLUB PAN","https://de.ra.co/promoters/108108, https://de.ra.co/promoters/118586",19,General admission,17.6,"DJ SWISHERMAN , Projekt Gestalten , Sylvie Maziarz , Rocko Garoni",18,"Trance, Techno",,DUALISMBERLIN,https://www.instagram.com/dualism_berlin/
1975995,Hannover,Faust,"Zur Bettfedernfabrik 3, 30451 Hannover",https://de.ra.co/clubs/7554,"POOL w/ Daichi Wada, Esoterik & Lora",2024-10-18,Fri 23:59,Sat 08:00,https://de.ra.co/events/1975995,poolevent,https://de.ra.co/promoters/112642,12,N/A,N/A,"1444, aequum, Cenan Holland, Daichi Wada , Esoterik , Lora (2) , riko (2) , Vivus",18,"Trance, Techno",,poolevent,https://www.instagram.com/pool_event/
2010179,Hannover,Weltspiele,"Weidendamm 8, 30167 Hannover, Deutschland",https://de.ra.co/clubs/188465,Das Werk x Weltspiele,2024-10-18,Fri 23:00,Sat 08:00,https://de.ra.co/events/2010179,"Weltspiele, Das Werk","https://de.ra.co/promoters/102868, https://de.ra.co/promoters/137418",10,Early bird,8,"LYZA , Omon Breaker , Ponygirl  , Punktmidi",18,Techno,"Das Werk X Weltspiele - 18.10.2024

Collaborations between projects from different cities and countries are vital for the development of a diverse community and the electronic music scene. 
On October 18th, we’re teaming up with Weltspiele Club to deliver a unique musical experience in Hannover.

Our project will be represented by Das Werk co-founders Punktmidi & Omon Breaker. Hannover’s local scene will shine with the support of Weltspiele resident Ponygirl, while a special highlight will be the return of Lyza to her hometown.
",Weltspiele,N/A
2011590,Hannover,Indiego Glocksee,Glockseestr.35; 30169 Hannover; Germany,https://de.ra.co/clubs/20053,CLX feat GLXY & Kyrist,2024-10-18,Fri 23:00,Sat 08:00,https://de.ra.co/events/2011590,N/A,N/A,5,N/A,N/A,"GLXY, Kyrist, Annca, Benski, Gus, Ben Glock, Moonaddict, Molovv, Smeerlapp, Shay & Thrive",18,"Breakbeat, Drum & Bass","Lineup:

GLXY (Shogun Audio | UK)
Kyrist (Kynetic Sound, Dark Mttr and Overview Music | UK)

Fränzn
Shay B2B Annca
Smeerlapp B2B Molovv
Thrive B2B Gus B2B Moonaddict

Hosted by Benski

__________________________________

Can’t wait to dance with you again to great music and extraordinary guests making this the probably most exciting CLX to date!

Both of our guests from the UK (yes we’ve got two!!!) are no newcomers to the scene. They have both gained some extra momentum recently through successful releases on top labels as well as appearances at some of the most exciting lineups of the summer.

While GLXY started creating a real buzz with their soul-drenched style of production, including amazing vocalists such as DRS and Solah, their recent productions have witnessed an interesting approach to the rather darker end of the spectrum which just enriches their quality output even more. They have been an integral part of Friction’s Label Shogun Audio since 2017 and have regularly delivered outstanding releases and mind bending sets across the globe for Shogun ever since. Besides that they have been gracing stages at the likes of Liquicity, Let It Roll and SUNANDBASS, upgrading lineups across Europe incl. Fabric, RSO, Ministry of Sound and many more as well having multiple appearences in North America and Australia.

Kyrist has undoubtedly justified her place at the forefront of the UK's Drum & Bass scene on multiple levels. Her rise to eminence as prolific dj, producer and label owner has been a result of talent, hard work and patience. Best known for her dark, bass driven punishing yet soulful sets she has been spreading vibes internationally, adding some extra pepper to events for Alix Perez's 1985 Music and Break's Symmetry Recordings and is no stranger to the big festival stages such as Let It Roll, Outlook, Boomtown & Hospitality On The Beach, Glastonbury and Tomorrowland. As producer she has launched her own imprint Kynetic Sound in 2021 following from stand-out releases on Dispatch, Critical, and Hospital cementing her place in the scene even more.

This amazing Lineup will be rounded off by Fränzn who delivered an extraordinary set at the Fete de la Musique this summer for us as well as our good friends Gus and our ‘Birthday Boy’ Thrive and the CLX gang.

Last but not least, we want to tell you how much we missed dancing with you! We hope you had a lovely summer with your besties and can’t wait to show you great music and celebrate the club season with you and our amazing guests.

__________________________________

CLX = Striving to create a place for everyone to fully enjoy sophisticated and raw Drum and Bass. Cherishing the past while creating the future. Junglists, newcomers, uptempo fans and ravers are welcome.

+++ please respect our awareness concept +++

+++ strict no photo policy +++

This is a diverse and inclusive space with a zero tolerance policy towards discrimination and harassment of any kind.

Respect people’s space & boundaries. If someone is making you feel uncomfortable let a member of staff know - and they will contact our care team.",Mercedes-Benski,https://www.tixforgigs.com/Event/59739
1985887,Hannover,Brain Klub,"Bruchtorwall, 38100  Braunschweig",https://de.ra.co/clubs/16050,ENIGMA with Gabriel Padrevita,2024-10-18,Fri 23:00,Sat 07:00,https://de.ra.co/events/1985887,ENIGMA Agency,https://de.ra.co/promoters/138639,2,N/A,N/A,"Gabriel Padrevita , Paranoid Kid, NRG:T, Lucas Jaaber",18,"Trance, Techno","Embark on a transcendent techno experience where the enigmatic rhythms of Gabriel Padrevita (Italy) & Paranoid Kid (Korea) converge with the unique sound of german artists Lucas Jaaber & NRG:T. Inspired by the cryptographic brilliance of the Enigma machine, our event mirrors the innovative spirit, encrypting and decrypting musical messages for a night of mysterious beats and sonic revelations.",enigmaagency,https://www.enigma-agency.eu
2002232,Hannover,Klub PAN,"Engelbostler Damm 7, 30167 Hannover, Germany",https://de.ra.co/clubs/159634,PAN x HUJUS x SHFTR,2024-10-19,Sat 23:00,Sun 07:00,https://de.ra.co/events/2002232,KLUB PAN,https://de.ra.co/promoters/118586,9,N/A,N/A,"HUJUS , SHFTR, CLAVD , formula303",18,,,KlubPAN,N/A
