event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
2009190,Leipzig,Neue Welle,"Rolf-Axen-Strasse 35 04229 Leipzig, Germany",https://de.ra.co/clubs/193349,"Ohrbit x Aller Ende Anfang with Multifun, Salomon, f.feuerstein, ge_heym, kaotisch",2024-10-05,Sat 23:00,Sun 07:00,https://de.ra.co/events/2009190,"Aller Ende Anfang, OHRbit","https://de.ra.co/promoters/79245, https://de.ra.co/promoters/150484",63,Early bird,13,"Multifun , Salomon (2) , ge_heym , f.feuerstein , kaotisch",18,"Trance, Techno","// Wir möchten mit euch zusammen die Clubsaison einläuten. Es ist Zeit für eine weitere Sachsen-Berlin Connection. allerendeanfang x ohrbit_ kommen zum zweiten Mal in der Neuen Welle zusammen.
",HainKollektiv,https://soundcloud.com/sachsentrance/multifun-sachsentrance-podcast-041?in=multifun/sets/guest-mixes-2o2o-2o22
2004859,Leipzig,Institut fuer Zukunft (IfZ),"An den Tierkliniken 38-40, 04103 Leipzig",https://de.ra.co/clubs/94601,VACANZA x APOSTROPHÉ,2024-10-05,Sat 23:59,Sun 09:00,https://de.ra.co/events/2004859,N/A,N/A,39,N/A,N/A,":MUMM, Adrija, apøllo, blemm, Cleo SNK, Janthe, KRUE, kunstlicht, Phoebe, SACID, solala",18,"Trance, House","VACANZA x APOSTROPHÉ | 05.10. | 23:59 - 09:00

apostrophé x Vacanza, sounds like music to your ears, right? Like a match made in heaven, we meet again and would like to invite you to an exaggerating night at IfZ. For this very case we prepared a nice symbioses of house, disco, trance and techno music with residents from our crews, plus we invited some of our favorite DJs who‘ll surely make the floor burn. 

Prepare your dancing shoes and raviest rave outfit and you might want to bring a spare shirt in case it gets sweaty. This night is about meeting and spending time with friends and making new ones. We can’t wait and would love to see you. If you wanna take some time off from dancing we even got you covered with some specials: Put your musical knowledge to the test in an exclusive game of gesch///ofe hitstar on trakt III. Because this ain’t enough already you can also get some ink under your skin by lutschieart.

It’s about you and me. It’s about us. 

adrija [apostrophé]
apøllo [apostrophé]
blemm [apostrophé]
Cleo SNK [IfZ, HOTSHOT, Waldbrand]
Janthe [IfZ, G-Edit]
KRUE [Vacanza]
kunstlicht [Vacanza]
:мυмм [Vacanza]
phoebe [Vacanza]
SACID [OXYTOCIN, Para//e/]
solala [apostrophé]

Artwork: _moritz_ernst

// If you find yourself in a discomforting situation or if you are experiencing your personal boundaries or those of others not being respected while you are present at any type of event – talk to our staff for immediate help and support!

// If you notice symptoms of illness, please don’t attend social events.

// Please respect the no-photo policy. Please bring any form of ID.
",zarahzukunft,N/A
2011370,Leipzig,elipamanoke,"Markranstädter Straße 4, 04229 Leipzig",https://de.ra.co/clubs/15739,PRAXIS13.5,2024-10-05,Sat 23:59,Sun 10:00,https://de.ra.co/events/2011370,"elipamanoke, PRAXIS13.5","https://de.ra.co/promoters/99186, https://de.ra.co/promoters/136488",24,N/A,N/A,"Mara Menace , Karashò , Atalanta , WEYD, Hypnosta , NEPTUNE",18,"Techno, Industrial","Praxis13.5 invites you to another night to dance away at THE hottest techno party in town! Join us for a night filled with dynamic sets, breathtaking lights, and non-stop energy, building up by talented artists.

This time the carefully curated lineup serves as always two floors: one with hypnotic and raw techno featuring MARA MENACE, HYPNOSTA, and WEYD, and another blasting industrial hardtechno with KARASHO, ATALANTA, and NEPTUNE. Each artist brings their own unique perspective, blending their artistic vision with the unique atmosphere at Elipamanoke. A powerful sound system and amazing visuals by PANTA make the party into a real 10h journey into the underground, transforming the night into a kaleidoscope of music, emotions and colours.

So mark your calendars because this party you definitely don't want to miss. See you at Elipamanoke on 5th of October on the dancefloor.

",Nacht-igall,"https://www.instagram.com/praxis13.5/, https://www.instagram.com/elipamanoke/"
2013206,Leipzig,DUQO,"Lagerhofstraße 2, 04103 Leipzig",https://de.ra.co/clubs/235038,DUQO GARDEN CLOSING,2024-10-05,Sat 16:00,Sun 22:00,https://de.ra.co/events/2013206,DUQO,https://de.ra.co/promoters/140340,8,N/A,N/A,"Anjin , Carlo Karacho, DJ HDGDL, DJ Ragequit, Davy, George Morell, jewelry, Jolle, LULU, Miss Take, Nell, Nugget, OLIV , SAM (9), Submod",18,,"Hold on tight - next week we’re bringing the summer back to DUQO for a short time!

With an extremely extended garden closing we’re saying goodbye to our first outdoor season and starting the indoor season at the same time. What better way to celebrate this occasion than with a 30h long party that starts in the garden, then moves into the club and on Sunday morning exploits the last warm rays of sunshine outdoors.

ENTRY
SAT 16:00 15€ SUN 06:00 5-10€",DU.QO,https://events.clubkit.app/duqo-duqogardenclosing-355
2004245,Leipzig,Absturz,"Karl-Liebknecht-Str. 36, 04107 Leipzig",https://de.ra.co/clubs/17980,Aufgelauscht! presents OSTPRODUKTE,2024-10-05,Sat 23:00,Sun 06:00,https://de.ra.co/events/2004245,N/A,N/A,2,N/A,N/A,"Stromer (Ostprodukte), Bucke (Ostprodukte), Michelle & Herrman Her (Taktgewackel)",18,Techno,"Aufgelauscht! presents OSTPRODUKTE

- Techno all night long -

Geboren in der Platte für die Platte. Aus den Tiefen des Trockenraums von Grünau in die feuchten Keller der Clubs für euch im Absturz die Ostprodukte!

Bucke und Strom.er spielten nicht nur in der G16, DHF, Victro Jara, Elipamanoke, Tille, usw., sie bespielten auch so manche Wald und Wiesen Party und die besten Garagen der lausigen Hinterhöfe der Stadt. Ohne Tanzmove und Choreografie spielen sie klaren Techno und alles was sich darum ansiedelt. Der Klassenfeind ärgerte sich, wenn das Urgestein Strom.er schon in seiner Grünauer Wohnung die Wände bassierte und so manchen Polizeieinsatz auslöste. Im Sector und DHF kümmerte er sich auch stets um das Wohl der Gäste und atmete dort schon so manchen Track ein der auch heute noch aktueller ist als je zuvor. Bucke kommt aus Markranstädt. ;-)

Was wollen wir mit den ganzen BlaBla sagen. „Die Jungs wissen was sie spielen und machen, kommt rum“.

LineUp:
Stromer (Ostprodukte)
Bucke (Ostprodukte)
Michelle & Herrman Her (Taktgewackel)

Doors: 23:00
Entry: 10 €

Karl-Liebknecht-Straße 36, 04107 Leipzig

no racism • no discrimination • no sexism

If you feel uncomfortable or harassed, you can contact our bar or door staff at any time and we will help you immediately.",Absturz,N/A
2010991,Leipzig,ZiMMT,"Torgauer Str. 80, 04318 Leipzig, Germany",https://de.ra.co/clubs/190094,AV-Labor (Modulare Synthesizer),2024-10-07,Mon 17:00,Mon 21:00,https://de.ra.co/events/2010991,N/A,N/A,5,N/A,N/A,Workshop,18,,"DIESMAL: Einführung in Modulare Synthesizer. Die Grundlagen modularer Synthesizer werden anschaulich erklärt, und es besteht die Möglichkeit, erste Erfahrungen und Experimente mit bereitgestellten Modularsystemen zu sammeln. Der Workshop kann auch für diejenigen inspirierend sein, die nicht an den Erwerb der meist recht teuren Hardware denken. Es werden neue musikalische Wege aufgezeigt, die auch ohne Hardware, zum Beispiel mit der kostenlosen Software VCV Rack, weiterverfolgt werden können. Vorkenntnisse im Bereich Modular sind nicht erforderlich. Wenn ihr bereits mit Audio gearbeitet habt, ist das von Vorteil, aber wir bemühen uns, alle Teilnehmenden einzubeziehen.

Die Teilnahme ist kostenlos, die Teilnehmendenzahl aber auf 12 begrenzt – hier anmelden! Das AV-Labor ist eine kostenlose Workshopreihe im ZiMMT, die jeden zweiten Montag Interessierten die Möglichkeit gibt, audiovisuelle Techniken kennenzulernen oder eigene Projekte zu vertiefen.

Jeder Termin hat einen der vier Schwerpunkte: XR environments, Video Mapping, Audio Fokus, generative and interactive Video – 3D Audio bildet in jeder Session einen zusätzlichen Schwerpunkt. Das AV-Labor ist die Weiterentwicklung des offenen Klanglabors „Open Thursdays“, mit dem das ZiMMT 2023 erstmals im zweiwöchigen Rhythmus eine Türen öffnete, um technische Ausstattung und Wissen zu teilen.",ZiMMT,https://zimmt.net/av-labor/
2012456,Leipzig,Ilses Erika,"Bernhard-Göringstr.127, 04277 Leipzig",https://de.ra.co/clubs/16927,SOUNDCLASH Vol 7 - Hip Hop Contest,2024-10-08,Tue 21:30,Tue 23:59,https://de.ra.co/events/2012456,N/A,N/A,1,N/A,N/A,"DJ B2B: FREE-KEE, , Line-Up:, CRIZKOE, MC Zak, JanniX, JABENG, MEP, Pimp T, HASTE MA FEUER, LUCKY",18,Hip-Hop,"Ursprünglich eine reine freestyle open stage für Hip Hop MCs, gibt es nun die Möglichkeit, eure eigenen Songs (!) zu präsentieren. Jede(r) Teilnehmende bringt 5 selbst geschriebene/produzierte Songs mit und tritt damit gegen eine(n) andere(n) Teilnehmende(n) an.

Das Publikum entscheidet wer weiterkommt, bis es schließlich eine Sieger:in gibt!",Zuzana-RA,https://www.ilseserika.de/termine-65/soundclash-vol-7-hip-hop-contest.html
2013657,Leipzig,elipamanoke,"Markranstädter Straße 4, 04229 Leipzig",https://de.ra.co/clubs/15739,between x keinkollektiv,2024-10-09,Wed 23:00,Thu 06:00,https://de.ra.co/events/2013657,N/A,N/A,6,N/A,N/A,"ABYSSUS, B3b3fac3 Special b2b, DJ Skonti, Ira (1) b2b KΣNΘ, IsoSportler, HALLVK, KunstTechnologe, PIERRE",18,"Trance, Techno","We're excited to invite you to our upcoming between on October 9th.
Get ready for a night filled with driving trance and pounding hardtechno that will keep your energy high from start to finish.
Lose yourself in the beats, connect with the crowd and experience the raw power of the dancefloors.
This time, we'll be taking over two floors.

On the xxsuperkronik floor, be ready to dive deep into hard, relentless techno beats. Over on the Tranceport floor, lose yourself in uplifting, energetic trance.

Grab your friends and join us for a journey through deep basslines and electrifying rhythms. We can't wait to see you there!
- KeinKollektiv.



19:00 Table Tennis  
23:00 KeinKollektiv Rave   

table tennis costs 3€, if you stay for the rave you‘ll get a 2€ discount at the entrance. we don’t sell drinks before 11pm but you can bring your own.  

Artwork: @designed.by.felix

☻ Racism, sexism, anti-Semitism, trans- or homophobia and all other forms of discrimination won't be tolerated!  
☻ Enjoy the moment - no photos, no videos, no stories!  
☻ Feeling uncomfortable, being harassed, or noticing others who may need help? - Contact the Awarness team or our staff in confidence.  
☻ You've lost something? Then write to lostandfound@elipamanoke.de  
☻ Please bring a valid ID Document",elipamanokeclub,https://www.instagram.com/keinkollektiv04/
1963673,Leipzig,elipamanoke,"Markranstädter Straße 4, 04229 Leipzig",https://de.ra.co/clubs/15739,para//e/ pres.: DREAM DJ TEAM - Klopf Klopf Albumtour 2024,2024-10-10,Thu 20:00,Fri 02:00,https://de.ra.co/events/1963673,para//e/,https://de.ra.co/promoters/101740,81,Super early bird,11.3,"Dream DJ Team [Anna Ullrich x Bitschu Batschu] , dj twerking class, krs_ktrl",18,"Trance, Techno","PARA//E präsentiert: DREAM DJ TEAM auf Klopf Klopf Albumtour 2024

Das DJ-Duo Dream DJ Team, bestehend aus Anna Ullrich und Bitschu Batschu, hat sich einen festen Platz in der Dance-Szene Österreichs und Deutschlands erobert und bringt eine frische romantische Brise in die elektronische Musikszene. Mit ihren hypnotischen Melodien und energiegeladenen Sets versprechen sie ein unvergleichliches Erlebnis für alle Dance-Liebhaber.

Das neue DREAM DJ TEAM-Album ""Klopf Klopf"" ist ein bunter Mix aus verschiedenen Einflüssen und eine faszinierende Reflexion der Wiener Nachtlebenskultur. Die Musik transportiert die Energie und Vielfalt dieser Szene und ist in eine künstlerische Darstellung von verschiedenen Fiktionen, darunter Figuren wie Kirby, eingebettet. Diese Vielseitigkeit erstreckt sich über musikalische Genres und erzeugt eine einzigartige Klanglandschaft, die das lebendige und kreative Ambiente des Wiener Nachtlebens einfängt.

Seid dabei, wenn das Dream DJ Team auf Tour geht!

#LINE UP

DREAM DJ TEAM [Anna Ullrich x Bitschu Batschu]
dj twerking class
krs_krtl

#TICKETS

Super Early Birds: 10€
Early Birds: 12€
Main Phase: 15€

#ALLGEMEINE REGELN

Wir möchten einen sichereren Raum für alle Teilnehmer unserer Veranstaltungen schaffen, insbesondere für diejenigen, die häufiger Belästigungen oder Diskriminierungen ausgesetzt sind. Wir verfolgen eine Null-Toleranz-Politik gegenüber Diskriminierung oder Belästigung in allen sozialen Bereichen unserer Veranstaltungen. *Keine Ismen: kein Sexismus, kein Rassismus, Klassismus, Homophobie, Xenophobie, Transphobie etc. Seid freundlich, seid nett!

Wenn ihr eine unangemessene Situation beobachtet oder erlebt, zögert nicht, unser Team oder einen der Mitarbeiter an den Bars, der Garderobe oder dem Türpersonal zu kontaktieren.

Wer sich nicht angemessen verhält, wird gebeten zu gehen.

+ Ticket garantiert keinen Einlass. Der Club behält sich das Recht vor, den Einlass zu verweigern.
+ Keine Fotos oder Videos.

#LOCATION
Elipamanoke
Markranstädter Str. 4
04229 Leipzig",parallel.hhbln,N/A
2013245,Leipzig,DUQO,"Lagerhofstraße 2, 04103 Leipzig",https://de.ra.co/clubs/235038,bar & music with Snare affair,2024-10-10,Thu 20:00,Fri 03:00,https://de.ra.co/events/2013245,DUQO,https://de.ra.co/promoters/140340,1,N/A,N/A,"Demegy, Heftique, Old Man Crane, Max Krach  , Tico",18,Bass,Snare Affair zooms in on the diversity of music makers in Leipzig. In a monthly show Sphere Radio and regularly events different styles and artists are portrayed by the host Max Krach. This bar & music event at DUQO is dedicated to the the different flavors of bass music.,DU.QO,N/A
