event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
1987216,Mannheim,Das Zimmer,"Q5 Passage 14-22, 68161, Mannheim",https://de.ra.co/clubs/5012,Dominik Eulberg,2024-10-05,Sat 23:00,Sun 05:00,https://de.ra.co/events/1987216,N/A,N/A,8,N/A,N/A,"Dominik Eulberg , Alicia Hahn , Cyanit",18,"Techno, Ambient","Wir begrüßen wir einen ganz besonderen Gast bei uns im Zimmer: Dominik Eulberg! 

Dominik Eulberg erzählt mit seinem Sound Geschichten, die Mutter Natur geschrieben hat. So wie ein Maler seine Darstellung der Welt malt, möchte er ein akustisches Bild schaffen, welches fesselnd und leidenschaftlich seine Gefühle wiedergibt. ⁠

Support liefen Alicia Hahn und CYANIT.

Sei dabei und begib dich mit Dominik Eulberg, Alicia Hahn und CYANIT auf eine musikalische Reise! ",cosmopop_Mannheim,https://shop.paylogic.com/4fb876a040984e0c89856686f443d81c/
1987219,Mannheim,Das Zimmer,"Q5 Passage 14-22, 68161, Mannheim",https://de.ra.co/clubs/5012,ALT8,2024-10-11,Fri 23:00,Sat 05:00,https://de.ra.co/events/1987219,N/A,N/A,4,N/A,N/A,"ALT8 , Gianni, Nika",18,"Techno, Hip-Hop","ALT8 kommt ins Zimmer!

ALT8 begann seine musikalische Reise inspiriert von hartem Techno und dem Groove der frühen 2000er Jahre. Nach den Auftritten seines älteren Bruders brachte er in Irland eine Mischung aus Hip-Hop und Dance-Musik auf die Bühnen. Diese Vielfalt zeichnet ihn aus.

2019 begann er, eigene Produktionen zu schaffen, und veröffentlichte 2020 seine erste EP auf T-Minus Records. Sein Durchbruch kam 2021 mit „Mind Control“ auf DYENs „Reckless“-Label, das ihm Respekt in der Techno-Szene einbrachte.

Für Kenner ist klar: ALT8 ist entschlossen, seinen eigenen Weg zu gehen. Wer ihn noch nicht kennt, wird es bald tun.

Support liefern Gianni Und Nika.",cosmopop_Mannheim,https://shop.paylogic.com/d440526271314a2bbe9b95192742d966/
1997279,Mannheim,MS Connexion Complex,"Angelstrasse 33, 68199, Mannheim",https://de.ra.co/clubs/9611,21 Jahre Stereo621,2024-10-12,Sat 21:00,Sun 08:00,https://de.ra.co/events/1997279,"Stereo621, MSCC Events","https://de.ra.co/promoters/62007, https://de.ra.co/promoters/114751",10,Standard Ticket,27,"STEREO621 FLOOR, Tanzsaal [23:00 - 08.00]:, , • a-z •, Cinthie , DMan , Jennifer Cardini , Justin Cudmore , Shoe Bee , ____________, , METALHEADZ FLOOR, Kolbenhalle [21:00 - 06.00]:, , Goldie, • a-z • , Ant TC, Medic MC, Paradox live, Submotive, , Support from, E.Decay, Sonair",18,"Drum & Bass, House","The ticket price includes access to both floors:

""21 Jahre STEREO621"" + ""30 YEARS OF METALHEADZ w/ GOLDIE""!

Both rooms are connected as one event - Tickets are good for both floors!
______________________________________________________________

21 JAHRE STEREO621 

Gefeiert wird der Geburtstag von Mannheims dienstältester Clubnacht in guter Tradition.

In diesem Jahr sogar mit ZWEI wilden Nächten & jeweils einem besonderen Line Up.

Nacht 1 - SA 12 10 24
Nacht 2 - FR 18 10 24",shoebee,"https://www.msconnexion.com/, https://helterskelter.ticketshop.live/GoldieO621/, https://linktr.ee/stereo621"
1997490,Mannheim,MS Connexion Complex,"Angelstrasse 33, 68199, Mannheim",https://de.ra.co/clubs/9611,30 YEARS OF METALHEADZ - SINCE FOREVER,2024-10-12,Sat 21:00,Sun 06:00,https://de.ra.co/events/1997490,"MSCC Events, No Way Merchandise","https://de.ra.co/promoters/114751, https://de.ra.co/promoters/122221",10,N/A,N/A,"METALHEADZ FLOOR, KOLBENHALLE [21:00 - 06.00]:, , Goldie , Ant TC1 , Medic MC, Paradox  live, Submotive, E.Decay, Sonair , , , STEREO621 FLOOR , TANZSAAL [23:00 - 08.00]:, , Cinthie , DMan , Jennifer Cardini b2b Gabrielle Kwarteng , Justin Cudmore , Shoe Bee",18,"Drum & Bass, Jungle","This is the second 30 YEARS OF METALHEADZ NIGHT stoping at MS Connexion Complex, Mannheim Germany. This one is for all the Drum and Bass / Jungle fans. Metalheadz shaped the scene for over three decades and is responsible for many releases you all heard before. This is one is for young and old to enjoy together. Whether you sing along and recall memories or discover sounds to create new ones. Everyone is welcome to enjoy. 

Further more there is a second room curated by STEREO621 that you have access to. Both floors are connected.

Depending on temperature the outdoor area will be open.

TICKETS ARE GOOD FOR BOTH FLOORS   ",Sonair,"https://www.nowaymerch.com/tickets-events/, https://www.msconnexion.com/programm/club-party.html, https://helterskelter.ticketshop.live/GoldieO621/"
2009291,Mannheim,Das Zimmer,"Q5 Passage 14-22, 68161, Mannheim",https://de.ra.co/clubs/5012,Ashby Resident Night,2024-10-12,Sat 23:00,Sun 05:00,https://de.ra.co/events/2009291,N/A,N/A,0,N/A,N/A,"TLNMR, J Martius , L.S.RAW , Gavrik",18,"Trance, Techno","ASHBY RESIDENT-NIGHT VOL.2

ASHBY ist zurück mit einer neuen Resident-Night!! 

Wer sich an unser erstes ASHBY im Zimmer erinnert, weiß, welche Energie euch erwartet! 

Von Hard-Groove über Hard-Trance und Bounce ist alles dabei, um mit euch, der ASHBY FAMILY, die Nacht zum Tag zu machen! 

Seid wieder dabei, wenn es heißt…

It is not a rave, we are calling it ASHBY!

Euer ASHBY TEAM ",cosmopop_Mannheim,https://shop.paylogic.com/a2ead32a43424afca128d7dfd5ec285d/
2018022,Mannheim,Disco Zwei,"T6, 14; 68161 Mannheim; Germany",https://de.ra.co/clubs/27073,Topos Night with Known Artist (Club Mix),2024-10-12,Sat 23:00,Sun 06:00,https://de.ra.co/events/2018022,Disco_Zwei,https://de.ra.co/promoters/145888,0,N/A,N/A,"Known Artist (Club Mix), A_DJ, Day V. Jones, Baby B, mirella",18,"Progressive House, House","Reba and Probably Sean are two producers/DJs who merged under the pseudonym Known Artist in 2022. Based in France, they launched their own label «Club Mix» and quickly made a name for themselves with an excellent catalog consisting solely of bangers. The duo now continue to tour the world, working on EPs for other labels, obviously following their own releases on «Club Mix» but also a «Club Remix» series on vinyl.

As support and also for heating up our second floor, we invited our local heroes A_DJ, Day V. Jones, Baby B and mirella.

Reba und Probably Sean sind zwei Produzenten/DJs, die sich 2022 unter dem Künstlernamen «Known Artist» zusammengeschlossen haben. Sie kommen aus Frankreich und haben ihr eigenes Label «Club Mix» gegründet. Schnell haben sie sich mit einem Katalog voller Hits einen Namen gemacht. Das Duo tourt nun um die Welt und arbeitet an EPs für andere Labels. Natürlich veröffentlichen sie weiterhin auch auf ihrem eigenen Label «Club Mix» und haben außerdem eine «Club Remix»-Reihe auf Vinyl gestartet.

Als Support und auf unserem zweiten Floor treten unsere local DJs A_DJ, Day V. Jones, Baby B und mirella auf. ",DZwei,N/A
2003101,Mannheim,MS Connexion Complex,"Angelstrasse 33, 68199, Mannheim",https://de.ra.co/clubs/9611,21 Jahre Stereo621 - Part 2,2024-10-18,Fri 23:00,Sat 08:00,https://de.ra.co/events/2003101,"Stereo621, MSCC Events","https://de.ra.co/promoters/62007, https://de.ra.co/promoters/114751",8,Early bird,10,"LINE UP:, Dax J , Alekzandra , Maurce, Shoe Bee",18,Techno,"21 JAHRE STEREO621

Gefeiert wird der Geburtstag von Mannheims dienstältester Clubnacht in guter Tradition:
In diesem Jahr sogar mit ZWEI wilden Nächten & jeweils einem besonderen Line Up.

Bei zweiten Teil der Feierlichkeiten wird Dax J mit einem Set gratulieren!
________________________________________________________________

There are few artists carving out a legacy for themselves like Dax J is right now. The British DJ and producer from London has gone from pirate radio to magazine covers; from the backroom parties to headlining raves at every major techno institution the world over, all whilst staying true to the underground with an individual style all of his own. His technical skill, pure selection as a DJ and attention to high-end sound production has placed him at the forefront of a global scene, and established him as a singular presence within modern dance music.",shoebee,"https://linktr.ee/stereo621, https://helterskelter.ticketshop.live/STEREOokt/, https://www.msconnexion.com"
1987223,Mannheim,Das Zimmer,"Q5 Passage 14-22, 68161, Mannheim",https://de.ra.co/clubs/5012,Nicolas Julian,2024-10-18,Fri 23:00,Sat 05:00,https://de.ra.co/events/1987223,N/A,N/A,9,N/A,N/A,"Nicolas Julian , Alejandro Diego, Blondy",18,Techno,"Nicolas Julian kommt ins Zimmer!

Nicolas Julian, aus Berlin stammend, revolutioniert die elektronische Musikszene mit seiner Mischung aus Hard-Techno, Hard-Trance und Hard-Groove. Seine Tracks, wie „Jump Dance Move Bounce“ und „Bad Girls“, haben auf Plattformen wie SoundCloud und Spotify viral für Aufsehen gesorgt.

Als DJ, Produzent und Social-Media-Experte setzt er kontinuierlich neue Maßstäbe. Mit zahlreichen Festivalauftritten und Headline-Shows in den Jahren 2023 und 2024, sowie Millionen von Aufrufen auf YouTube, Instagram und TikTok, festigt Nicolas seinen Ruf als eine treibende Kraft der Technoszene.

Support liefern Blondy und Lorenz Harry.",cosmopop_Mannheim,https://shop.paylogic.com/c16ccf87cb834b77a403bd57d7ac87ba/
1921003,Mannheim,Maimarkthalle,"Xaver-Fuhr-Strasse 101, 68163, Mannheim",https://de.ra.co/clubs/3300,Time Warp Two Days / Two Celebrations,2024-10-25,Fri 21:00,Sun 10:00,https://de.ra.co/events/1921003,"Time Warp, Cocoon Official, cosmopop","https://de.ra.co/promoters/3380, https://de.ra.co/promoters/3659, https://de.ra.co/promoters/17321",289,N/A,N/A,"FRIDAY A-Z | 60 YRS OF SVEN VÄTH, &ME vs Rampa , Cassy, Charlotte de Witte b2b Enrico Sangiuliano, Nina Kraviz, Sven Vath , , SATURDAY | 30 YRS TIME WARP , Adam Beyer, Alignment, Azyr, Cera Khin, Deborah De Luca, Funk Tribu, Indira Paganotto, Lovefoxy, Mila Journée, Miss Monique, Nico Moreno, Reinier Zonneveld live, Somewhen b2b ØTTA, Trym, Vintage Culture",18,"Techno, House","We can't wait to reopen the Maimarkt Hall and Club with two special celebrations: 

Friday 25th | 60 YRS OF SVEN VÄTH
Saturday 26th | 30 YRS TIME WARP 

",cosmopop_Mannheim,"https://www.time-warp.de/2d2c/index_eng.html, https://shop.paylogic.com/33c9f8c6773540db8433d71263bb14a0/"
1992558,Mannheim,Disco Zwei,"T6, 14; 68161 Mannheim; Germany",https://de.ra.co/clubs/27073,Raserei with DVS1,2024-11-01,Fri 23:00,Sat 06:00,https://de.ra.co/events/1992558,Raserei,https://de.ra.co/promoters/109886,34,General admission,14.1,"DVS1 , Akuma b2b Confusion, Arok , Nortsch",18,Techno,"Raserei is restarting into the club season with none other than DVS1. His status as one of the world’s most revered DJs and prominent voices in the preservation of true club culture is built upon an all-encompassing love of music, deep respect for his craft, and experiences in the ‘90s midwest rave scene. His sets, powerful and high-energy affairs, honor these roots while evidencing a versatility, sensitivity, and understanding for making people dance that comes only with years of commitment in pushing the boundaries of sound at the most renowned clubbing institutions, among them Berghain/Panorama Bar, where he’s one of few residents capable of working both floors. Whether he’s spinning a rare house set or racing, straight techno to pitch black rooms, the DVS1 experience is unforgettable.
All Raserei residents won't miss the chance to join him during this night on both floors..",Raserei,https://discozwei.de/
