event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
1993614,Nürnberg,Airport Würzburg,Gattingerstr. 17; 97076 Würzburg; Germany,https://de.ra.co/clubs/9764,41 Years Airport DAY 2,2024-10-05,Sat 08:00,Sun 05:00,https://de.ra.co/events/1993614,AirportWuerzburg,https://de.ra.co/promoters/113419,9,N/A,N/A,ALT8 CARV KØZLØV Don Woezik DJ GUESTLIST Dominique Lamee Kander Part Time Killer Klang der Nacht Kø:lab Luis Martinez TANJA MIJU  Negitiv Adem EFFE Cassa Cristano HNAS KLING&KLANG LUCA&LUKAS Mantraa Timm Schirmer Neo.official,18,"Trance, Techno","41 Years Airport DAY 2

Mit 21 Künstler feiern wir auf drei Areas den 2. Tag unseres Geburtstags.

Line Up:

Alt8, CARV, Don Woezik, Køzløv, DJ Guestlist, Dominique Lamee, Kander b2b Part Time Killer, Klang der Nacht, Kø:lab, Luis Martinez, Negitiv b2b Tanja Miju, Adem Effe, Cassa Cristano, HNAS, Kling&Klang, Luca&Lukas, Mantraa., NEO, Timm Schirmer",AirportWuerzburg,"https://club-airport.com, https://airport-wuerzburg.nightowl.app/steps/selection?event_id=1457"
2002711,Nürnberg,Die Rakete,"Vogelweiherstraße 64, 90441 Nürnberg",https://de.ra.co/clubs/9726,20 Jahre NASTY pres. Gregor Tresher (Cocoon),2024-10-05,Sat 23:00,Sun 10:00,https://de.ra.co/events/2002711,N/A,N/A,3,N/A,N/A,"Gregor Tresher (Cocoon / Frankfurt), The Journey (Stil vor Talent / Australien), Milan Milano (NASTY / Nürnberg), Felix Eul (3000 Grad / Nürnberg)",18,,"Bereits seit 20 Jahren existiert die Veranstaltungsreihe NASTY in Nürnberg und lädt Monat für Monat die Creme de la Creme der weltweiten Techno Szene in unsere Frankenmetropole ein.
Seit einigen Jahren hat NASTY in unserer Rakete ein neues Zuhause gefunden. Zum zwanzigjährigen Jubiläum lassen wir die Korken knallen. Hierfür begrüßen wir einen langjährigen Wegbegleiter. GREGOR TRESHER
Außerdem haben sich zum Jubiläum THE JOURNEY aus Australien auf den Weg gemacht und bespielen die Makrobe mit einem seltenen und einzigartigen All Night Long Set.
Der Support auf dem Mainfloor kommt von Milan Milano und Felix Eul.",Ben.JedenTagEinSet,N/A
2014140,Nürnberg,Haus 33,"Engelhardsgasse 33, 90402 Nürnberg",https://de.ra.co/clubs/164762,UNFACED x HERZFREQUENZ,2024-10-05,Sat 23:00,Sun 05:00,https://de.ra.co/events/2014140,"Haus drei & dreißig, HERZFREQUENZ TECHNO","https://de.ra.co/promoters/71309, https://de.ra.co/promoters/137443",3,N/A,N/A,"FIRST FLOOR:, RANTOM, keha , YØNDER, KILIÅN x Joey (2) , , SECOND FLOOR:, SUPAMARIO, Erhyc",18,"Trance, Techno","UNFACED
Doors 11 PM
Music:
▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔
First Floor:
x RANTOM
x KEHA
x YØNDER
x KILIÅN x JOEY
Second Floor:
x Supamario
x Erhyc
▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔
if you are racist, sexist, homophobic, transphobic, misogynistic, xenophobic, insulting don't come in!
no mainstream, keep it underground.
▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔
See ya!
We´re looking forward to dance with you!",herzfrequenztechno,https://haus33.club
2017578,Nürnberg,Airport Würzburg,Gattingerstr. 17; 97076 Würzburg; Germany,https://de.ra.co/clubs/9764,41 Yard Airport,2024-10-05,Sat 23:00,Sun 06:00,https://de.ra.co/events/2017578,Monka,https://de.ra.co/promoters/151294,0,General admission,35,"LINE-UP, , , Vendex 🃏, , Klang der Nacht, , CARV, , ALT8, , Luis Martinez, , Kander, , Don Woezik, , KØZLØV, , Mantraa, , Cassa Cristano, , LUCA&LUKAS, , NeO, , Adem, , Timm Schirmer",18,,,Monka11,N/A
2014739,Nürnberg,Z-Bau,Frankenstr.200,https://de.ra.co/clubs/117235,electrobüro x WADW - ROOM 510,2024-10-05,Sat 23:00,Sun 05:00,https://de.ra.co/events/2014739,N/A,N/A,0,N/A,N/A,"amecelli, GDA b2b treknebelo, Kaluko , Hyperfocus , , Visuals, Alicia Brunner , keingarten",18,"Techno, Garage","electrobüro x WADW - ROOM 510
23-05h | z.bau roter salon 
VVK TICKETS -> Link in Bio 
AK 11-14€

5 sweete DJs, 2 cute VJs, Anlage auf 10!

electrobüro and WADW join forces for a groovy night with sick visuals and some extra sweets! Tell your friends <3

Genres:
#House 
#Garage 
#Groove 
#Breaks 

DJs:
amecelli 
GDA b2b treknebelo 
Hyperfocus
kaluko

VJs 
@keingarten (@brouzman )
@alicia.brnr 

Design sama.riter 

- NO HOMOPHOHIA NO RACISM NO SEXISM NO
TRANSPHOBIA NO ABLEISM NO DISCRIMINATION IN ANYWAY
- NO MEANS NO - RESPECT THAT - RESPECT PRIVACY
- TAKE CARE OF EACH OTHER
- BE CONSIDERATE WHEN TAKING VIDEOS AND PHOTO",electrobuero,https://www.eventbrite.com/e/electro-buro-x-wadw-room-510-tickets-1021811083457?aff=oddtdtcreator&fbclid=PAZXh0bgNhZW0CMTEAAaYiibaeawYFCBMaIVMjWYH19avMXxF5pLm6ip7WqovxwA6UFmBjWQz3iqM_aem_xgQW0lMVBT-XefYes9Qz4A
1992085,Nürnberg,E-Werk Kulturzentrum,"Fuchsenwiese 1, 91054 Erlangen",https://de.ra.co/clubs/16660,Future Frequencies X Giftgrube pres. Kander,2024-10-19,Sat 22:00,Sun 05:00,https://de.ra.co/events/1992085,Nachtschicht Kollektiv,https://de.ra.co/promoters/121582,7,N/A,N/A,"Kander , atjan , Dark Manoeuvres , Laviena, Sonrick",18,Techno,"Das Nachtschicht Kollektiv und Giftgrube vereinen sich, um euch die neueste Ausgabe der Eventreihe 'Future Frequencies' anzubieten!

Wir präsentieren: Kander
Der junge Engländer ist durch Releases auf namenhaften Labels wie zum Beispiel 44 Label Group bekannt geworden und glänzt als aufstrebender DJ und Producer!
Des Weiteren bespielt er regelmäßig die größten Bühnen der Techno-Szene auf verschiedenen Kontinenten!

Durch die Fusion von technischem Equipment und kreativer Expertise wird den Gästen ein audiovisuelles Erlebnis der Extraklasse geboten. 

Future Frequencies steht für höchste Qualität, da sowohl das Nachtschicht Kollektiv als auch Giftgrube jeweils 110% in die Planung und Umsetzung investieren. 

Dieses Hardtechno-Event setzt Maßstäbe - überzeuge dich selbst!
 ",atjan,https://shop.eventix.io/0700ad0f-a701-11ed-aa54-6a57c78572ab/tickets?shop_code=zrzz6aw2&original_referer=https%3A%2F%2Fl.instagram.com%2F
1991684,Nürnberg,Airport Würzburg,Gattingerstr. 17; 97076 Würzburg; Germany,https://de.ra.co/clubs/9764,Pappenheimer pres. I Hate Models (4h EXTENDED SET),2024-10-25,Fri 22:00,Sat 05:00,https://de.ra.co/events/1991684,AirportWuerzburg,https://de.ra.co/promoters/113419,19,N/A,N/A,LUCA&LUKASLucia Lu I Hate Models Cassa Cristano Mantraa Klang der Nacht Mario Angelo Neo.official,18,Techno,"Pappenheimer feiert seinen Geburtstag!
Dieses Mal nicht nur mit seinem ALL NIGHT LONG, sondern mit noch zwei weiteren SPECIAL GUESTS - I HATE MODELS & Lucia Lu!

Lineup:
Pappenheimer ALL NIGHT LONG
I Hate Models (4h extended set)
Lucia Lu
Support:
Klang der Nacht b2b Mantraa.
Cassa Cristano
Mario Angelo
Luca&Lukas
Neo
DOORS: 22:00 Uhr",AirportWuerzburg,"https://club-airport.com, https://airport-wuerzburg.nightowl.app/steps/selection?event_id=1392"
1963056,Nürnberg,Die Rakete,"Vogelweiherstraße 64, 90441 Nürnberg",https://de.ra.co/clubs/9726,VOIT X OPUS,2024-10-25,Fri 23:00,Sat 05:00,https://de.ra.co/events/1963056,N/A,N/A,10,N/A,N/A,"Adrian Mills , Hades , Igor Masson, KØ:LAB , KUKO, Matze Raab , RE:GRESS, Simon Ochmann",18,Techno,"VOIT  x OPUS

Nuremberg, are you ready for a new chapter?! For the first time ever we´re coming to Nuremberg in collaboration with Opus Rave.

Be fast and safe your ticket! ",igormasson,https://voitevent.ticket.io/h4jjdv7b/
2012570,Nürnberg,Airport Würzburg,Gattingerstr. 17; 97076 Würzburg; Germany,https://de.ra.co/clubs/9764,Airport invites Kompound with 6EJOU,2024-11-01,Fri 23:00,Sat 05:00,https://de.ra.co/events/2012570,AirportWuerzburg,https://de.ra.co/promoters/113419,1,N/A,N/A,6EJOU BSLS 753 Neo.official Mantraa,18,"Techno, Industrial","Airport invites Kompound w/ 6ejou
Line Up:
6ejou (live)
753
BSLS (live)
Mantraa.
NEO
SLR",AirportWuerzburg,"https://club-airport.com, https://airport-wuerzburg.nightowl.app/steps/selection?event_id=1511"
2011051,Nürnberg,Airport Würzburg,Gattingerstr. 17; 97076 Würzburg; Germany,https://de.ra.co/clubs/9764,Airport pres. Alfred Heinrichs with Ben Dust,2024-11-09,Sat 23:00,Sun 05:00,https://de.ra.co/events/2011051,AirportWuerzburg,https://de.ra.co/promoters/113419,1,N/A,N/A,Alfred Heinrichs Ben Dust Mario Angelo Klang der Nacht Cassa Cristano,18,Techno,"Airport pres. Alfred Heinrichs w/ Ben Dust
Line up:
Alfred Heinrichs
Ben Dust
Cassa Cristano
Klang der Nacht
Mario Angelo",AirportWuerzburg,"https://airport-wuerzburg.nightowl.app/steps/selection?event_id=1509, https://club-airport.com"
