event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
2004123,Rhineland-Palatinate,Bellini Club,Rheinallee 159 Mainz,https://de.ra.co/clubs/151252,ELYSIUM x LSDM ,2024-10-05,Sat 22:00,Sun 07:00,https://de.ra.co/events/2004123,"Elysium Rave, LSDM","https://de.ra.co/promoters/147166, https://de.ra.co/promoters/150050",2,N/A,N/A,"SECRET HEADLINER, YESOLO  , Æcho , Suchtgefahr, Mugliproject, Incubus, Easypysi",18,"Trance, Techno",,Aecho,https://tickets.ravenow.de/ELYSIUM/
2012845,Rhineland-Palatinate,Altes Postlager,"Mombacher Str. 11-15, 55122 Mainz",https://de.ra.co/clubs/171214,"bürro with Dr. Banana, Ivo Total, Tuga",2024-10-05,Sat 23:59,Sun 07:30,https://de.ra.co/events/2012845,bürro,https://de.ra.co/promoters/106077,1,N/A,N/A,"Dr Banana , Ivo Total, Tuga",18,,,buerro,"https://buerro.ticket.io, https://www.instagram.com/buerro__/, https://www.buerro.de"
1993897,Rhineland-Palatinate,Schick,"Kaiserstraße 15, 55116 Mainz",https://de.ra.co/clubs/131844,SINGLEKLUB,2024-10-05,Sat 22:00,Sun 04:00,https://de.ra.co/events/1993897,Dom Waits,https://de.ra.co/promoters/133989,0,N/A,N/A,Singleklub Crew,18,Disco,"very well selected 7""s between
Garage Kraut Disco Goth Mod Popcorn Soul Funk Disco Boogie Indie",DomWaits,"https://www.facebook.com/SINGLE.KLUB, https://linktr.ee/schickmainz"
2011802,Rhineland-Palatinate,Schick,"Kaiserstraße 15, 55116 Mainz",https://de.ra.co/clubs/131844,GEILOBINGO!: Psycho-Jones,2024-10-09,Wed 19:00,Thu 01:00,https://de.ra.co/events/2011802,Dom Waits,https://de.ra.co/promoters/133989,0,N/A,N/A,Psycho-Jones,18,Disco,"Am Mittwoch im Schick: GEILOBINGO!

Kleines GEILOBINGO HANDBUCH:
(Die Regeln werden zu Beginn der Session via Mikrofon erklärt)
Bingocoupons & Stifte : können zu jeder Runde bei der Bingofee oder dem Bingomeister erstanden werden!
- Gezogene bzw genannte Zahlen sind anzukreuzen
- Zahlen nicht vorher ankreuzen wie beim Lotto z.B.
- Die leeren Felder der Coupons sind ohne Bedeutung für das Spiel
Eine Person aus dem Publikum oder dem Team wird zur Bingofee ernannt & dreht die Bingotrommel! Die Bingofee spielt nicht beim Bingo mit, bekommt aber einen kleinen Preis & trinkt alle Snapszahlsnäpse mit!
",DomWaits,"https://www.instagram.com/psychojones/, https://linktr.ee/schickmainz"
2007694,Rhineland-Palatinate,Schick,"Kaiserstraße 15, 55116 Mainz",https://de.ra.co/clubs/131844,Night On Earth: Dom Waits,2024-10-10,Thu 22:00,Fri 02:00,https://de.ra.co/events/2007694,Dom Waits,https://de.ra.co/promoters/133989,0,N/A,N/A,Dom Waits · · · · ·,18,"Breakbeat, Deep House","Am Donnerstag im Schick: Night On Earth
This is the Night. Tiefnächtliche elektronische Sounds, gepaart mit einzigartigen Visuals aus dem Outro Podcast ergeben eine wunderbare, treibende aber auch melancholische Experience. Sound zwischen Deep House, Tech House und Garage, dazu Frankfurt, Tel Aviv, Berlin, Hamburg und weitere Städte bei Nacht. 
Image: mobrigado

Dom Waits (Schick · Outro Podcast)
Resident im Schick Mainz (to be defined mit da:sypoda) und Host der Night On Earth Party-Reihe, bewegt sich nach fast 20 Jahren DJing zwischen stilvollem Tech House, UK Garage und Breakbeats. Bei seinen Live-Sets bespielt Dom 4 Decks und verbindet Samples, Melodien, Vocals und Loops aus unterschiedlichen Tunes zu einem hochintensiven Mix und garniert knackige Beats unter anderem mit eigenen Edits.

Doors: 19:00 · DJ: 22:00
Schick.
",DomWaits,"https://www.instagram.com/dom.waits, https://linktr.ee/schickmainz"
2007857,Rhineland-Palatinate,Schick,"Kaiserstraße 15, 55116 Mainz",https://de.ra.co/clubs/131844,Glow In The Dark: Lapse Erase · Poyu,2024-10-11,Fri 22:00,Sat 05:00,https://de.ra.co/events/2007857,Dom Waits,https://de.ra.co/promoters/133989,0,N/A,N/A,Lapse Erase · Poyu,18,"House, Deep House","Am Freitag im Schick: Glow In The Dark
Glow in the Dark steht als Veranstaltungsreihe im Mainzer Schick für elektronische Musikkultur aus dem Rhein-Main Gebiet. Selten werden dabei Genregrenzen nicht verschoben, überschritten, durchwandert. Die vielseitige Mischung an Gastkünstler*innen, die überwiegend mit Vinyl auflegen, zieht immer wieder tanz- und musikaffine Menschen an und garantiert stets einen ausgelassenen Abend. Gespielt wird alles von House und Disco bishin zu Breakbeats, Garage, Minimal und Tribal.

Artwork by Felix Blum

Lapse Erase 
Lapse Erase, DJ und Mitgründer des Klinsh Kollektivs Braunschweig, mittlerweile  wieder in der alten Heimat Rheinhessen angekommen spielt House-Sets, die gekonnt Ausflüge in Disco und Funk machen. 

Poyu (AL FORNO)
Poyu steht bereits seit über 15 Jahren deutschlandweit hinter den Plattentellern. Der anfänglichen Begeisterung für House und Disco ist sukzessive ein eklektischer Ansatz gewichen, der sich nunmehr in genreübergreifenden Sets und jeglichen Spielarten elektronischer Musik zeigt. Er ist Mitglied des Mainzer Kollektivs Al Forno und veranstaltet in unregelmäßigen Abständen Veranstaltungen bei denen neben internationalen Musiker*innen insbesondere auch regionale Künstler*innen ihre Arbeiten präsentieren.
",DomWaits,"https://www.instagram.com/_paulmassow/, https://linktr.ee/schickmainz"
2012846,Rhineland-Palatinate,Altes Postlager,"Mombacher Str. 11-15, 55122 Mainz",https://de.ra.co/clubs/171214,"bürro with Chesna & Ölek, Unai Trotti, Xarbi & Felix Reifenberg",2024-10-12,Sat 23:59,Sun 07:30,https://de.ra.co/events/2012846,bürro,https://de.ra.co/promoters/106077,1,N/A,N/A,"Chesna & Ölek, Unai Trotti , Xarbi & Felix Reifenberg",18,,,buerro,"https://buerro.ticket.io, https://www.instagram.com/buerro__/, https://www.buerro.de"
2012980,Rhineland-Palatinate,Schick,"Kaiserstraße 15, 55116 Mainz",https://de.ra.co/clubs/131844,London Groove: Bassresonanz · DJ Dynamic · Voynich,2024-10-12,Sat 22:00,Sun 05:00,https://de.ra.co/events/2012980,Dom Waits,https://de.ra.co/promoters/133989,0,N/A,N/A,Bassresonanz · DJ Dynamic · Voynich,18,"Breakbeat, Drum & Bass","Am Samstag im Schick: London Groove
Bei der London Groove geht es um die Sounds der britischen Hauptstadt. Ob 130, 140 oder 170 BPM - Garage, Breaks oder Drum and Bass, es ist alles dabei, was warm klingt, gebrochene Rhythmen hat, und den typischen britischen Charakter inne hat. Gehosted von DJ Voynich von den Basement Sessions, mit wechselnden Guest-Artists.

Bassresonanz (Basement Sessions)
Im Jahr 2016 enteckte Bassresonanz sine Leidenschaft für Drum & Bass.
Sein Debüt feierte er im Mai dieses Jahres im Tokonoma in Frankfurt am Main und hat sich seitdem als fester Bestandteil der Rhein-Main.Szene
etabliert. Seit kurzem ist er ein enagierstes Mitglied bei dem Mainzer Kollektiv Basement Sessions, die bekannt für Ihre mitreißenden Veranstaltungen
im Haus Mainusch in Mainz sind.

DJ Dynamic (Sunset Crew)
Dynamic kaufte sich 1994/95 seine ersten Schallplatten. Es fing an mit Hip Hop, Drum & Bass, House und UK Garage. Zur gleichen Zeit  spielte er noch in einer Hardcore Band. 2000 gründete er mit einem Freund die Sunsetcrew und begannen direkt selbst in Mainz, Nürnberg und Rosenheim zu veranstalten. Gäste waren unter anderem Mickey Finn, Darren Jay, Kenny Ken, Siren & Blaze, Nicol & Majistrate, ErbnDub, Jacky Murda, Freesteppa, Mc Sugars, Mc Five O, Mc Navigator, McFava ... 
Der aktuelle Sound, immer melodisch, erstreckt sich von Ragga Tunes über Liquid, Roller bis Jungle.

Voynich (Basement Sessions)
Voynich ist 2016 über das Internet auf Drum and Bass gestoßen, hat das Genre lieben gelernt und hat sich 2020 das auflegen beigebracht. Seit Ende 2021 spielt er in Mainz und Umgebung, unter anderem im Schick und im Haus Mainusch. Am London Groove-Abend legt er zudem Garage und Breakbeat auf.
",DomWaits,"https://www.instagram.com/voynich_music/, https://www.instagram.com/bassresonanz_dnb, https://www.instagram.com/dj_dynamic_sunsetcrew_mainz"
2007664,Rhineland-Palatinate,Schick,"Kaiserstraße 15, 55116 Mainz",https://de.ra.co/clubs/131844,WI Will House U: Aniemann,2024-10-17,Thu 22:00,Fri 02:00,https://de.ra.co/events/2007664,N/A,N/A,0,N/A,N/A,Aniemann,18,"House, Disco","Am Donnerstag im Schick: WI Will House U
Die Brücke aus der hessischen Landeshauptstadt ins Schick. Einmal im Monat bringen die besten Wiesbadener DJs ihre Plattensammlung mit und beschallen das Schick mit finesten House Tunes. WI will house U!

Aniemann
Stefanie Hellmann aka Aniemann aus Köln, jetzt Wiesbaden, Mama und Vinyllover. Genre: Elektro und Techno. Kombiniere den Sound der Vergangenheit mit dem Sound von Heute. Mich interessieren u.a. die Klänge aus Mali, Berlin und London. DJ Melé, Label Bpitch. 
Bisher aufgelegt im Schick Mainz, Treibhaus, Wakker, Maldaner, Adamstal in Wiesbaden. Einige Privatpartys. Am Set seit 1,5 Jahren. 
Lebe mit meiner Familie in Wiesbaden. 

Doors: 19:00 · DJ: 22:00
Schick.",DomWaits,"https://www.instagram.com/anie.mann, https://linktr.ee/schickmainz"
2008134,Rhineland-Palatinate,Roof175,"Rheinallee 175, 55120 Mainz",https://de.ra.co/clubs/218563,HELIX Mainz Roof 175 - Trance,2024-10-18,Fri 23:00,Sat 07:00,https://de.ra.co/events/2008134,HELIX-Events,https://de.ra.co/promoters/150449,1,N/A,N/A,"DJ GUESTLIST , Cravings320, Nikush, Reyylito, Tysk",18,"Trance, Techno","Fr. 18.10. HELIX x Roof 175 - Trance

Der Sommer war wunderschön mit euch <3 , aber jetzt geht es wieder in die Clubs und wir sehen uns wieder in Mainz im Roof.

Diesmal haben wir uns für ein verstärktes Producer Lineup entschieden. Alle DJs sind selbst am Produzieren, daher werden sie auch den ein oder anderen neuen und unreleased Track für euch mitbringen.

Lineup (A-Z):
Cravings320
DJ Guestlist
Nikush
Reyylito
Tysk",Helix-Events,https://helix.ticket.io/
